Year,Bw,Bs,Ba,ELA,Bw_Date,Ba_Date,Calibration
1946,nan,nan,0.13,nan,nan,nan,0.17
1947,nan,nan,0.53,nan,nan,nan,0.17
1948,nan,nan,0.68,nan,nan,nan,0.17
1949,nan,nan,1.09,nan,nan,nan,0.16
1950,nan,nan,-0.01,nan,nan,nan,0.17
1951,nan,nan,-0.17,nan,nan,nan,0.17
1952,nan,nan,0.33,nan,nan,nan,0.17
1953,nan,nan,0.02,nan,nan,nan,0.17
1954,nan,nan,0.10,nan,nan,nan,0.17
1955,nan,nan,1.14,nan,nan,nan,0.17
1956,nan,nan,0.04,nan,nan,nan,0.17
1957,nan,nan,0.13,nan,nan,nan,0.17
1958,nan,nan,0.38,nan,nan,nan,0.17
1959,nan,nan,0.52,nan,nan,nan,0.17
1960,nan,nan,0.33,nan,nan,nan,0.17
1961,nan,nan,0.65,nan,nan,nan,0.17
1962,nan,nan,0.56,nan,nan,nan,0.17
1963,nan,nan,0.74,nan,nan,nan,0.17
1964,nan,nan,1.30,nan,nan,nan,0.17
1965,nan,nan,0.96,nan,nan,nan,0.17
1966,nan,nan,0.25,nan,nan,nan,0.17
1967,nan,nan,0.42,nan,nan,nan,0.17
1968,nan,nan,0.63,nan,nan,nan,0.17
1969,nan,nan,1.34,nan,nan,nan,0.17
1970,nan,nan,0.93,nan,nan,nan,0.17
1971,nan,nan,0.80,nan,nan,nan,0.17
1972,nan,nan,0.59,nan,nan,nan,0.17
1973,nan,nan,0.69,nan,nan,nan,0.17
1974,nan,nan,0.75,nan,nan,nan,0.17
1975,nan,nan,1.02,nan,nan,nan,0.17
1976,nan,nan,0.83,nan,nan,nan,0.17
1977,nan,nan,0.64,nan,nan,nan,0.17
1978,nan,nan,0.48,nan,nan,nan,0.17
1979,nan,nan,0.31,nan,nan,nan,0.17
1980,nan,nan,0.71,nan,nan,nan,0.17
1981,nan,nan,0.29,nan,nan,nan,0.17
1982,nan,nan,0.32,nan,nan,nan,0.17
1983,nan,nan,-0.25,nan,nan,nan,0.17
1984,nan,nan,0.81,nan,nan,nan,0.17
1985,nan,nan,1.57,nan,nan,nan,0.17
1986,nan,nan,1.37,nan,nan,nan,0.17
1987,nan,nan,0.56,nan,nan,nan,0.17
1988,nan,nan,0.77,nan,nan,nan,0.17
1989,nan,nan,-0.64,nan,nan,nan,0.17
1990,nan,nan,-0.28,nan,nan,nan,0.17
1991,nan,nan,0.55,nan,nan,nan,0.17
1992,nan,nan,0.34,nan,nan,nan,0.17
1993,nan,nan,0.13,nan,nan,nan,0.17
1994,nan,nan,0.26,nan,nan,nan,0.17
1995,2.20,-2.62,-0.42,1217,1995/04/18,1995/10/06,-0.02
1996,1.84,-2.05,-0.21,1119,1996/04/30,1996/09/20,-0.02
1997,2.20,-2.91,-0.71,1277,1997/04/29,1997/10/03,-0.03
1998,2.03,-2.26,-0.23,1146,1998/04/26,1998/09/28,-0.02
1999,2.37,-1.96,0.41,1056,1999/05/30,1999/09/28,-0.02
2000,2.69,-1.81,0.88,948,2000/04/30,2000/09/28,-0.39
2001,2.60,-2.23,0.37,964,2001/05/09,2001/09/28,-0.39
2002,1.92,-2.13,-0.21,1060,2002/05/13,2002/09/30,-0.39
2003,1.15,-2.56,-1.41,1394,2003/04/16,2003/10/12,-0.4
2004,2.29,-3.06,-0.77,1224,2004/04/25,2004/10/05,-0.39
2005,2.63,-2.89,-0.26,1078,2005/04/20,2005/09/26,-0.39
2006,2.39,-2.16,0.23,1015,2006/05/16,2006/09/23,-0.39
2007,2.21,-2.19,0.02,1015,2007/05/17,2007/09/15,-0.39
2008,2.29,-1.73,0.56,1013,2008/05/16,2008/10/02,-0.39
2009,2.22,-2.39,-0.17,1015,2009/04/21,2009/09/21,-0.39
2010,2.22,-2.43,-0.21,1078,2010/04/22,2010/10/02,-0.4
2011,1.77,-2.05,-0.28,1085,2011/05/12,2011/09/27,-0.39
2012,2.87,-1.74,1.13,984,2012/05/14,2012/10/11,-0.39
2013,2.05,-2.73,-0.68,1148,2013/05/04,2013/10/02,-0.39
2014,2.00,-2.62,-0.62,1187,2014/04/18,2014/09/29,-0.39
2015,2.02,-2.98,-0.96,1217,2015/05/01,2015/10/12,-0.39
2016,2.25,-3.11,-0.86,1168,2016/05/07,2016/10/14,-0.39
2017,1.97,-2.49,-0.52,1174,2017/05/08,2017/10/01,-0.39
2018,1.70,-3.06,-1.36,1308,2018/05/05,2018/10/04,-0.4
2019,1.46,-3.73,-2.27,1528,2019/05/07,2019/10/05,-0.39
2020,2.46,-2.64,-0.18,1086,2020/04/30,2020/10/16,-0.39
