site,latitude,longitude,site_elevation,deploy_date,deploy_time,pickup_date,pickup_time,abl_initial_cm,abl_final_cm,height_change,anchor_melted_out,base_melted_in,wx_notes,sfc_notes,sun_cup_long_ax_lens_cm,wind_dir_offset_deg,pickup_notes,notes,retrieved_by,photos_by,approx_elev
F03,58.82171,-134.21209,1782,6/22/25,11:45,7/26/25,11:59,,,0,FALSE,TRUE,"Sunny, some high clouds","Very low slope angle, nearly flat/slight tilt to sensor. Some med sun cups.","27,29,29",,Anchor 368 cm to surf. Base melted in ~4 cm.,Approx pickup time. Sometime after F05?,Francis,Francis,TRUE
F05,58.81264,-134.16386,1793,6/22/25,12:20,7/26/25,13:28,,,0,FALSE,TRUE,"Sunny, light wind, some high clouds","Relatively flat null on mathes main branch. Some sun cups, varied size","22, 40, 28",,Anchor 151 cm to surf. Base melted in slightly ~10 cm.,,Francis,Francis,TRUE
F06,58.80668,-134.14089,1983,6/22/25,15:00,7/26/25,12:51,,,0,FALSE,FALSE,"Sunny, light wind, some high clouds","Slight lsope angle (~10 deg). Beginnings of small sun cups, near C8 nunatack","18, 19,28,23",,,,Francis,Francis,TRUE
G01,58.62173,-134.26298,1128,6/22/25,18:30,7/18/25,16:57,,,0,FALSE,TRUE,"Sunny, blue sky, light breeze",Small sun cups,"36, 37, 33",,"Base melted in towards N, NE",,Christina,Christina,TRUE
G02,58.62827,-134.25018,1125,6/22/25,18:50,7/18/25,17:16,,,0,FALSE,TRUE,"Sunny, blue sky, light breeze",Lots of small sun cups,"33, 39, 37",,All 4 base poles melted in ~10-15 cm. Stake straight up [no tilt].,,Christina,Christina,TRUE
G03,58.64256,-134.22363,1110,6/23/25,05:30,7/18/25,17:42,,,0,TRUE,TRUE,"Blue sky, sunny, some low clouds rolling in",Lots of small sun cups,"25, 39, 31",,"Base melted in towards S. 100 cm sensors different [from normal], 2 sensors","Field notebook page is labelled A02, but notes 2 sensors at the 1m level,. Which makes this G03.",Christina,Wilder,TRUE
G04,58.65039,-134.21077,1091,6/23/25,05:15:00,7/18/25,18:00,,,0,FALSE,TRUE,"Sunny, blue sky, no wind",Some huge sun cups with red algae,"113, 57,45",,Base melted in towards SW. Thicker poles again melted in more ~30cm. Full anchor retrieved.,"No pickup time listed, approx time used. Page labelled G03, but actually G04 because the G03 page was labelled A02, and G04 and G03 were swapped on the sensor bag labels.",Christina,Wilder,TRUE
Lee1,58.93683,-134.10061,1701,6/17/25,19:00,7/28/25,16:22,62,202,140,FALSE,FALSE,"Blue sky, sunny, light breeze",Lots of sun cups,"36,27,39",18,[Sensor pole] straight up. Bracket direction 336 NW. Wind direction 205 SW @ 16:32 (canada time?).,What timezone?,Christina + Margo,Christina,
divide,58.85757,-134.15845,1858,6/19/25,16:30,7/30/25,16:06,38,116,78,FALSE,TRUE,"Overcast, patches of blue sky, dry, light breeze",Shallow sun cups,"35, 40, 50",18,"""1st. sensor: height above snow surface: 57.5cm
2nd: 109.5cm
3rd: 157cm
4th: 207.5cm""
NE facing base pole melted in 20cm. West facing melted out 30 cm. Anemometer 260 deg W. No anchor at site.",What timezone?,Christina + Ali,Christina + Ali,
windward1,58.80989,-134.19476,1751,6/19/25,18:35,7/30/25,17:23,40,153,113,FALSE,TRUE,"Cloudy, light breeze, no precip",Small sun cups,"40, 30, 20",18,"Measured sensor heights ~1.5 off from nominal. Base melted in a little bit towards W, SW. Anemometer ~307 NW, forgot about it when demounting the pole",Approx initial ablation stake height,Christina + Ali,Christina + Ali,
lee2,59.01803,-134.08401,1400,6/17/25,14:10,8/4/25,14:54,42,286,244,TRUE,TRUE,"Overcast, light breeze, pretty cold",Blue ice,,-7,"Station wx pole slightly tilted. SE Base pole 20 cm above sfc, melted out. ""station in good condition
sensor above ice surface: 1.: 56cm
2.: 109cm
3.: 160cm
4.: 206cm
wind bracket direction 150° SE; wind direction 160°S. sensor heights were measured above ice surface, as wx station was a little tilted (base pole towards SE about 20cm above ice surface)",,Christina,Christina,
windward2,58.71779,-134.21329,1405,6/22/25,17:45,7/27/25,16:03,5,105,100,FALSE,FALSE,"Sunny, blue sky",small sun cups,"35,30,48",18,"Station was held up on one corner. Measurements were taken from the top of the snow as well to facilitate extrapolation of melt/laspe rate. ""1st sensor: Height above snow 99cm; Height above base 50cm
2nd sensor: Height above snow 141.5cm; Height above base 100cm
3rd sensor: Height above snow 191cm; Height above base 150cm
Pendant shielded: Height above snow 207cm; Height above base 200cm
Pendant unshielded: Height above snow 203cm; Height above base 200cm
4th sensor: Height above snow 243cm; Height above base 200cm""","Revised ablation stake values based on timelapse camera. Initial height above sfc was not measured (or I can't find the notes), so determined using change in height and final height.",Greg,Greg,
Ab mountain,59.49369,-135.3104,,,,9/16/25,16:42,,,0,,,,,,,"Pickup time, AB mountain. Still here! Appears untouched. Pickup time 16:42 09/16/25. High clouds turning to partial sun. No wind. Buggy. Sensor still at exactly 2m",,Daniel,Daniel,
Carcross hanger,60.17317,-134.69675,,,,9/18/25,17:49,,,0,,,,,,,,,Daniel,Daniel,
Dail peak,60.02555,-134.6384,,,,9/17/25,13:21,,,0,,,,,,,,,Daniel,Daniel,
Fraser wx,59.71544,-135.05086,,,,9/17/25,10:04,,,0,,,,,,,"Fraser. Other point is more correct.

Retrieved 10:04 09/17/25. Perfect condition. Light rain, cloudy. No wind.
",,Daniel,Daniel,
Klondike wx,59.62962,-135.16416,,,,9/17/25,08:34,,,0,,,,,,,"Retrieved 08:34 09/17/25. Rainy, low wind, in and out of clouds. Sensor in same spot & perf condition",,Daniel,Daniel,
Muffys house,60.1653,-134.70967,,,,9/18/25,15:29,,,0,,,,,,,"Muffy's place

Pickup on 9/18/25 15:29. Overcast and windy.",,Daniel,Daniel,
Poole point,60.02592,-134.61144,,,,9/17/25,17:37,,,,,,,,,,,,Daniel,Daniel,
Venus mine,60.02374,-134.62942,,,,9/17/25,13:19,,,,,,,,,,,,,,
