site_id,site_type,processing_group,instrument_type,logger_serial,sensor_serial,height_m,shielding,deployed_at_utc,retrieved_at_utc,latitude,longitude,elevation_m,wind_direction_offset_deg,status,notes
AB Mountain,off_ice_standard,off_ice,hobo_temp,22133633,,2,shielded,,2025-09-17T00:42:00Z,59.49369,-135.3104,,,,
Carcross Hanger,off_ice_standard,off_ice,hobo_temp,22133631,,2,shielded,,2025-09-19T01:49:00Z,60.17317,-134.69675,,,,
Dail Peak,off_ice_standard,off_ice,hobo_temp,22133632,,2,shielded,,2025-09-17T21:21:00Z,60.02555,-134.6384,,,,
Fraser Wx,off_ice_standard,off_ice,hobo_temp,22133627,,2,shielded,,2025-09-17T18:04:00Z,59.71544,-135.05086,,,,
Klondike  Wx,off_ice_standard,off_ice,hobo_temp,22133678,,2,shielded,,,,,,,,
Muffys House,off_ice_standard,off_ice,hobo_temp,22133639,,2,shielded,,2025-09-18T23:29:00Z,60.1653,-134.70967,,,,
Poole Point,off_ice_standard,off_ice,hobo_temp,22133623,,2,shielded,,2025-09-18T01:37:00Z,60.02592,-134.61144,,,,
Venus Mine,off_ice_standard,off_ice,hobo_temp,22133684,,2,shielded,,2025-09-17T21:19:00Z,60.02374,-134.62942,,,,
A01,on_ice_standard,on_ice,hobo_temp,22133645,,1,shielded,2025-06-20T23:45:00Z,2025-07-18T23:44:00Z,58.60366,-134.17993,982.0,,,2m sensor failed after only a few data points
A01,on_ice_standard,on_ice,hobo_temp,22133679,,2,shielded,2025-06-20T23:45:00Z,2025-07-18T23:44:00Z,58.60366,-134.17993,982.0,,,2m sensor failed after only a few data points
A02,on_ice_standard,on_ice,hobo_temp_light,22038780,,2,unshielded,2025-06-12T00:50:00Z,2025-07-19T01:26:00Z,58.63437,-134.23695,1109.0,,,Height for unshaded was not 2m. Maybe 0.5m? On Gulliana's wx station
A02,on_ice_standard,on_ice,hobo_temp,22133650,,2,shielded,2025-06-12T00:50:00Z,2025-07-19T01:26:00Z,58.63437,-134.23695,1109.0,,,Height for unshaded was not 2m. Maybe 0.5m? On Gulliana's wx station
A02,on_ice_standard,on_ice,hobo_temp,22133682,,1,shielded,2025-06-12T00:50:00Z,2025-07-19T01:26:00Z,58.63437,-134.23695,1109.0,,,Height for unshaded was not 2m. Maybe 0.5m? On Gulliana's wx station
A03,on_ice_standard,on_ice,hobo_temp,22133634,,1,shielded,2025-06-22T02:30:00Z,2025-07-19T00:25:00Z,58.6563,-134.27822,1196.0,,,
A03,on_ice_standard,on_ice,hobo_temp,22133661,,2,shielded,2025-06-22T02:30:00Z,2025-07-19T00:25:00Z,58.6563,-134.27822,1196.0,,,
A04,on_ice_standard,on_ice,hobo_temp,22133638,,2,shielded,2025-06-22T02:00:00Z,2025-07-27T22:55:00Z,58.66958,-134.3067,1237.0,,,
