,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8,PC9
mean_temp,0.34306123057027516,-0.18337636769511398,0.61616549989878,0.3079301888901465,-0.4028677928824773,-0.23743415996045994,-0.3935612446471044,-0.020443926700486698,-0.014674095198009015
std_temp,0.3940276584416251,0.1767370939252733,-0.18836084604539804,-0.18467717536034176,-0.21916992266554142,0.09051526331735722,0.04258821198686557,-0.5234531951356204,-0.6417750894194072
skewness,0.07119160763098396,0.6502268291822868,-0.001167222173023574,0.137550225141747,-0.23956412129404617,0.4695014143316368,-0.19538144617372474,0.48139092918243176,-0.07403861351660973
kurtosis,-0.062069258820039074,0.6453548710457473,0.13058052735644102,0.28339071294503804,0.012679366365401434,-0.4671658438416268,0.3478365896238941,-0.30590176877814246,0.2221081943837513
temp_range_p10_p90,0.4050354138377438,-0.01235416724508198,-0.23169964295662504,-0.22338447867988864,-0.32003933538716556,0.22410897673198046,-0.0003180197155595587,-0.2471721468090796,0.7200445522924206
hist_width,0.3926832224626406,-0.1555979576591924,-0.19322908168341937,0.004879184617458678,-0.25821958089262825,-0.3237026598188522,0.5515812821048653,0.5442077680878274,-0.11118951556756229
multimodality_index,0.3616892927249216,-0.1413436208706438,-0.26684964378261145,0.7494388593582594,0.3970001161713548,0.22383863229941267,0.012389144530320181,-0.09054304226176693,0.016466362994187987
daily_temp_range_mean,0.3609854711565614,0.06417911606213522,0.6001391152514642,-0.28630049300931565,0.4656338936272663,0.29624341158963374,0.34244298706594506,0.029162425215224864,0.027255687174192113
daily_temp_range_std,0.37248745489040447,0.21771297723263877,-0.21309561066127292,-0.27980702471481944,0.4342623730280858,-0.4515355638631376,-0.5123171733639614,0.18428517295447172,0.035416944747167896
