,site_name,sensor_height,elevation,latitude,longitude,n_measurements,mean_temp,std_temp,median_temp,skewness,kurtosis,p10_temp,p90_temp,temp_range_p10_p90,mode_temp,hist_width,multimodality_index,daily_temp_range_mean,daily_temp_range_std
B02_2m,B02,2m,,,,35262,5.104725893155364,2.854263702758081,4.672222222222221,0.5903055223260004,0.5881365644023622,2.1000000000000005,8.961111111111112,6.861111111111112,3.505277777777777,10.936666666666667,11,9.702350427350428,4.093635812099185
E03_1m,E03,1m,,,,40851,5.103781221185936,4.404015095017909,3.688888888888889,1.4367175051741676,1.7788979147558388,1.0277777777777786,11.794444444444443,10.766666666666664,1.5752777777777762,13.510000000000002,12,11.581666666666669,6.166712904397893
C02_1m,C02,1m,,,,34976,4.09974601631595,2.650272016755678,3.3888888888888897,1.26906231817873,2.213655571130966,1.3277777777777782,7.416666666666667,6.088888888888889,2.540277777777776,8.041666666666668,7,9.662393162393164,3.287430126539015
TKG4_2m,TKG4,2m,,,,53758,3.844492809338972,2.4487472487977437,3.4722222222222223,1.1118686373413962,3.4768123144557865,1.3722222222222216,6.861111111111112,5.48888888888889,1.896944444444443,7.398333333333334,6,8.926023391812867,3.642019345683465
E04_1m,E04,1m,,,,40903,4.984681373547716,4.260502262650034,3.6444444444444457,1.6274911488404225,2.7477768753173057,1.072222222222222,11.022222222222224,9.950000000000003,1.896944444444443,10.615000000000002,11,10.277777777777779,5.722709076735837
B03_2m,B03,2m,,,,35267,5.039914241516306,2.7146725261730933,4.627777777777776,0.6149821590282214,0.6267541247107027,2.2277777777777765,8.794444444444444,6.566666666666668,3.505277777777777,9.971666666666668,8,9.724888888888888,3.003794357676617
G01_2m,G01,2m,,,,39221,4.655123814056529,3.2288966949529443,3.9000000000000017,2.4741640332513826,9.161703406081442,1.8833333333333337,7.933333333333334,6.05,2.540277777777776,7.398333333333335,7,10.205363984674328,4.178848980922982
TKG4_1m,TKG4,1m,,,,53760,3.7446969039351856,2.542159674631771,3.3444444444444463,1.1795461980095097,3.8396147773499294,1.2388888888888872,6.816666666666668,5.577777777777781,1.2536111111111095,7.720000000000002,6,9.199122807017543,3.8941938599954717
E01_1m,E01,1m,,,,40777,4.72025052248953,3.7418304192993546,3.5999999999999983,1.4171243348658022,2.065685097211948,1.1555555555555546,9.905555555555555,8.75,1.2536111111111095,10.936666666666667,8,11.772037037037036,5.432922896588386
G04_2m,G04,2m,,,,38506,5.3779718312297655,2.8603843037139387,4.627777777777776,1.2030882707412245,2.008906595912001,2.4000000000000004,9.394444444444442,6.994444444444442,3.505277777777777,10.293333333333335,9,10.413492063492063,4.114622435638036
B01_1m,B01,1m,,,,23625,4.336421869488536,2.3809479634021073,3.816666666666665,0.6834827374674515,-0.3331196144607014,1.6722222222222212,7.88888888888889,6.216666666666669,1.896944444444443,7.720000000000002,7,8.971604938271604,2.872457358912136
D01_1m,D01,1m,,,,40722,4.46434496231903,3.2733312681795983,3.7277777777777783,1.8622509493771509,5.335009445080347,1.3722222222222216,8.15,6.777777777777779,1.896944444444443,7.720000000000001,4,10.685555555555556,5.198013351113473
G02_1m,G02,1m,,,,39198,3.999701231922264,2.5115257120117573,3.427777777777779,1.491011123389817,3.5616775279449158,1.4555555555555542,6.944444444444445,5.488888888888891,1.896944444444443,7.076666666666669,5,8.45191570881226,3.6506466113343965
A03_2m,A03,2m,,,,39228,4.145875536748128,2.09666788450955,3.7277777777777783,0.9242010691005271,1.1299045310266118,1.8000000000000012,6.7777777777777795,4.977777777777778,2.540277777777776,6.433333333333335,6,8.597701149425289,3.4787160783744313
G02_2m,G02,2m,,,,39200,4.437835884353741,2.5494136183799294,3.8555555555555543,1.3361335504684078,2.733365579708771,1.8000000000000012,7.550000000000002,5.75,2.540277777777776,7.076666666666668,6,8.917624521072797,3.6403315466610775
D01_2m,D01,2m,,,,40723,4.641310534314488,3.2252884924146237,3.9000000000000017,1.9460903714278848,5.375827233807035,1.6277777777777775,8.06111111111111,6.433333333333333,1.896944444444443,8.041666666666668,8,10.04,4.908614121378109
D02_2m,D02,2m,,,,40969,4.6141668090507455,3.2576592789498213,3.7722222222222217,1.6361903847586856,3.6296209116433404,1.5000000000000016,8.661111111111113,7.161111111111111,2.540277777777776,8.685000000000002,9,10.332407407407407,4.3520115218935365
E03_2m,E03,2m,,,,40851,5.172505365025744,4.328712682818551,3.7722222222222217,1.3378889362255575,1.3174291576238204,1.072222222222222,12.183333333333334,11.11111111111111,1.896944444444443,13.83166666666667,12,10.856296296296298,5.741036264794883
D04_1m,D04,1m,,,,41019,4.3491119291602,3.531337316677876,3.427777777777779,1.5471549445467825,3.106293083940634,0.8999999999999986,9.094444444444443,8.194444444444445,1.896944444444443,10.293333333333337,8,9.921296296296298,5.155790440716836
G01_1m,G01,1m,,,,39220,4.541971499801689,3.3287348350554176,3.7277777777777783,2.0196062471412444,6.117539552162194,1.5388888888888905,8.15,6.61111111111111,1.896944444444443,7.398333333333334,5,10.825862068965519,4.401211730828079
G03_1m,G03,1m,,,,38564,6.808272827853267,4.223939675100262,5.533333333333334,0.9939167436572938,0.2329377507864332,2.5277777777777763,13.255555555555555,10.727777777777778,2.8619444444444433,13.831666666666669,12,13.446031746031748,5.8884480325291495
A03_1m,A03,1m,,,,39227,3.9816756032551286,2.210059306105694,3.4722222222222223,0.9027963982960526,0.9852639897853916,1.5000000000000016,6.7777777777777795,5.277777777777778,2.540277777777776,6.755000000000002,8,8.589272030651342,3.3407802928604755
G03_2m,G03,2m,,,,38565,6.739786363570882,3.9090874575183046,5.572222222222223,1.004081686103501,0.34249294674281794,2.744444444444443,12.694444444444445,9.950000000000001,3.505277777777777,13.510000000000002,15,12.55734126984127,5.533643504560365
D04_2m,D04,2m,,,,41020,4.617630559618615,3.7314287791468095,3.6444444444444457,1.4512051078274653,2.499579258429214,0.9388888888888877,9.782222222222158,8.84333333333327,1.896944444444443,11.901666666666669,10,9.627962962962961,5.097621789432134
E04_2m,E04,2m,,,,40905,5.12228972279944,4.237561009759957,3.7277777777777783,1.5638736499141046,2.4293416639342595,1.1999999999999982,11.41111111111111,10.211111111111112,1.896944444444443,13.188333333333336,13,9.796111111111113,5.564385418202494
C02_2m,C02,2m,,,,34977,4.359848376552211,2.6232223830030876,3.688888888888889,1.1607045931087006,1.7087637947298369,1.5833333333333341,7.76111111111111,6.177777777777776,2.540277777777776,8.363333333333335,5,9.582264957264957,3.0900335375414585
E01_2m,E01,2m,,,,40778,4.669704797249061,3.5265641343345235,3.688888888888889,1.4106395020502047,2.3055766615640154,1.1555555555555546,9.43333333333333,8.277777777777775,1.896944444444443,10.936666666666667,13,10.672777777777776,4.963543709111804
B02_1m,B02,1m,,,,35260,4.4268759059683624,2.6983972598083104,4.027777777777778,0.6019163804789656,1.1586444764808794,1.5388888888888905,7.805555555555554,6.266666666666663,2.540277777777776,9.006666666666668,5,9.273504273504274,4.049331164126041
A01_1m,A01,1m,,,,40843,3.7942110303139125,1.9154137308048698,3.3888888888888897,1.202066435883867,2.3129353030276363,1.8000000000000012,6.261111111111113,4.461111111111112,1.896944444444443,6.111666666666668,3,8.05537037037037,2.6987878254919035
B01_2m,B01,2m,,,,23624,5.186198357602438,2.513108806537554,4.761111111111111,0.6201316413306389,-0.3932720468940656,2.311111111111109,8.877777777777775,6.5666666666666655,2.8619444444444433,8.685,6,9.573148148148148,2.8527290918706147
D02_1m,D02,1m,,,,40968,4.248454349193951,3.034721345694548,3.4722222222222223,1.399145129514336,2.3555541288411437,1.2388888888888872,8.105555555555558,6.866666666666671,1.896944444444443,7.720000000000001,6,10.022222222222222,3.9681385380036978
B03_1m,B03,1m,,,,35265,4.452409219087229,2.5802571816440123,4.1166666666666645,0.6106705764172654,1.1343625182386026,1.7555555555555538,7.8500000000000005,6.094444444444447,2.540277777777776,9.006666666666668,8,9.130555555555556,3.6324050834685764
