sensor_key,site_name,sensor_height,sensor_id,column_index,PC1_loading,PC2_loading,PC3_loading,PC4_loading,PC5_loading,PC6_loading,PC7_loading,PC8_loading,PC9_loading,PC10_loading,PC11_loading,PC12_loading,PC13_loading,PC14_loading,PC15_loading,PC16_loading,PC17_loading,PC18_loading,PC19_loading,PC20_loading,PC21_loading,PC22_loading,PC23_loading,PC24_loading,PC25_loading,PC26_loading,PC27_loading,PC28_loading,PC29_loading,PC30_loading,PC31_loading,PC32_loading
B02_2m_22133680,B02,2m,22133680,0,0.7046071750471079,0.5931367683518226,-0.3014148513350313,0.0938739970168253,-0.09853389095687129,0.06292761374529215,0.007843285010778307,-0.02965378649549187,0.01840425170838146,-0.016554859104926562,-0.01369650915599552,-0.005745097863198367,0.04185935859057449,0.0004553352482082812,-0.044862586966648105,-0.026996504632725706,0.06274023709168096,0.08819756844818749,-0.14531073038269376,0.0002551726127753442,0.010261146126030646,0.007143266475500396,0.010255758169509412,-0.014104267255422739,0.025193033279996203,-0.006394413909758165,0.004436826396524002,0.0006313370044381904,-0.0239827915518005,0.004804009547079598,-0.0035115597967166467,0.003429685446651158
E03_1m_22133626,E03,1m,22133626,1,0.7976194463005569,-0.3245279617446925,-0.29494384190995704,-0.30957871967628114,-0.030562198736609824,-0.10200390538321331,-0.030388816708486147,-0.12812295924777567,0.023288177082039504,-0.03990830597060939,0.09233389361078065,-0.09477579197822256,-0.053385759855056364,-0.030755753159075548,-0.1352778382367057,0.06497959444011667,0.03270831631812523,-0.022987730292625297,0.013371312168833178,-0.022819910397681303,0.006618932861200767,-0.010337801705638782,0.003216587917002516,0.002138779702918769,0.00679526306661968,-0.006738624366577801,0.0009232461550237968,0.007968957140922954,-0.004679196377018186,-0.022323967917312847,-0.007724854505959995,-0.014960741103981033
C02_1m_22133625,C02,1m,22133625,2,0.878104132871461,0.04138229028810209,0.23006790125673407,-0.07242598422195622,0.08756063662837349,-0.18384578868643248,0.28334941755256116,0.05324214623283729,0.1589102410736903,0.03911424556937471,0.07496480021423904,0.07470134075213829,-0.018851621799484825,-0.048407013560663945,0.0003716086115756312,-0.05194618393968774,0.0022107748415602464,0.0014453296261776817,-0.0162064289821773,-0.025539840551065337,0.013164711972568183,-0.035143549360137374,-0.004079546353717908,-0.007939568271185403,-0.0076008728267915274,0.01956348378011708,0.00563554908641712,0.02369693494537058,-0.006604321513254924,0.008605454967083483,0.0013831588090564765,0.0026376484034706083
TKG4_2m_22133650,TKG4,2m,22133650,3,0.8583469865028085,0.16024501409221753,0.3449411073818801,-0.16519201288884727,0.03064650780257066,-0.021901451898690423,0.12612051216364756,-0.02314313284552619,-0.12787270919173224,-0.11421842485539348,-0.08257155624370625,-0.08713564585590504,0.05354757953510981,0.03448581555854651,-0.018253697785706895,0.06854062931397689,-0.13447988792249646,0.005406352333187184,-0.03489033928200767,0.04156017538671585,0.018515573708046983,0.010589899056428046,0.020261824451114605,0.018546898224155676,-0.0005533085648317414,0.016693829416879177,0.019683483710056515,0.006525295685229319,-0.0013197634485101466,-0.006363563794299233,-0.002192114071779782,0.001395935212663301
E04_1m_22133657,E04,1m,22133657,4,0.7947910706314535,-0.3826635435998365,-0.32230185342349377,-0.22319251850103583,-0.029103945651140502,-0.1309680946305686,-0.09037475214760993,0.05357490653974576,-0.022968215775312297,-0.10852947582201197,0.013875460311666987,-0.009761956398273802,0.023858653275094274,0.02037853775505732,0.1329239368794032,-0.08853862485137655,-0.025015690660790738,0.02060437281598918,-0.015559420221648934,-0.01605976884593682,0.005831807694395076,-0.008762146941115682,0.002169078750244158,0.000742628229654237,0.0062354717408735815,-0.007267419265006873,0.003766155486938896,0.003467071975531569,0.00640335323745736,-0.014885763417952337,-0.003294780816705509,0.0036465665938721988
B03_2m_22133635,B03,2m,22133635,5,0.670223432814265,0.6108107646947397,-0.3129097965303163,0.08464881093036458,-0.08681680715334114,-0.011636768983651404,-0.021254847478323617,0.017536924068380005,0.07956985951403026,-0.08458990441342719,-0.019433127010377364,0.11044295925692518,-0.01960842274121969,0.1475963560437579,-0.029116379101836974,0.0021263382680357765,0.010628623099359353,-0.1078712197647898,-0.06576313743167479,-0.0007534024299954831,-0.007320892852101067,0.0017834245999899855,0.013497200650184319,-0.009877157853923152,-0.00572932004213775,0.017884983749752406,-0.011641576643096358,0.003443486694662792,0.02517719099110583,-0.006602544649585127,0.0030882352112016416,-0.0032854336832416797
G01_2m_22133648,G01,2m,22133648,6,0.8827899299040564,0.034081688503666364,0.2836581267178583,-0.060078731918092494,-0.10227239801370716,0.051441346582917165,-0.24013062238554353,-0.0483630480348361,0.018484485494821207,0.020665679548675323,0.04675602044835558,0.1855685918981968,-0.09995767691530125,-0.09429533604533134,-0.0010490860202952456,0.01710608224033913,-0.06501248263912676,0.025675659990911256,-0.021863991877189615,0.029867568690966798,0.005125504246143745,-0.019026424761410105,-0.017087260503232803,-0.020203193735559462,0.00028773014627656517,0.015792216042381815,0.006064771764649907,-0.02230446594549012,-0.003417424617938744,-0.01119316577547096,-0.0015141230894219913,-0.0005998250655408196
TKG4_1m_22133682,TKG4,1m,22133682,7,0.8746214675829052,0.1615973382772228,0.3342503476207228,-0.17207443597319133,0.016394421948161195,-0.03674947927235355,0.08070879923755857,-0.032851645401038534,-0.11518392598352224,-0.09222044920284693,-0.08179862187693976,-0.07708596017634299,0.05549985849759029,0.026747586105231227,-0.012219906346739091,0.046594324285958645,-0.11640792601236177,-0.0042676070039188675,-0.052956983566423574,-0.03470464312181783,-0.023490539617631177,-0.01056876047332459,-0.02406883902175552,-0.023636404585564798,0.00013432881281427695,-0.020046764745988068,-0.021725522980660317,-0.005899467017613377,0.0023246879900552433,0.00703742744716005,0.0016375057093334035,-0.002226600833410472
E01_1m_22133647,E01,1m,22133647,8,0.8406369390517457,-0.2810140554244559,-0.07186330307282861,0.2748419188207923,0.05424681200082788,0.2537933745315854,0.13615599983023993,-0.004706507159119484,-0.05197214220994063,-0.1463420956385173,0.0589122088514638,-0.02150658656857453,-0.14052144580243833,0.00039826818546082385,0.0013006209658049269,-0.020850841407552192,-0.011565349975982898,0.009493581351326377,0.008151926020885826,-0.019917231895638543,0.006782242567173079,-0.011768250918206121,0.003011133480940984,0.002898376808477226,0.010830017769832494,-0.008208741737401362,0.004366446041084142,-0.004556265746596283,0.009185706687723514,-0.009337253626047717,0.0077191902971460976,0.023829631737995897
G04_2m_22133651,G04,2m,22133651,9,0.8710148549838573,-0.1819529105879441,0.06813252061400503,0.05918286780423309,0.0019478599315119623,-0.11105779615666511,-0.02177880650691949,0.319044688382608,-0.029612503380323927,-0.0012242016927732835,-0.0754316537433449,0.0265880209242248,-0.06616793590397943,0.033493498876931614,0.07173654021203894,0.2359299923256192,0.11062569196004898,0.04292793028280847,-0.015507254726060874,-0.006563379638447506,0.0025238072559736094,-0.0031217216266849587,-0.0004862820497366331,0.002110858858302045,0.0010468285799787099,-0.00010025633638695087,-0.0003119452638969503,-0.0013434672966503975,-0.0002621476809477535,0.00037390220850249013,-0.0009532378661288012,0.00030539202115021746
