sensor_key,site_name,sensor_height,total_power,very_highfreq_power,highfreq_power,medfreq_power,lowfreq_power,very_highfreq_fraction,highfreq_fraction,medfreq_fraction,lowfreq_fraction,nperseg,noverlap,n_obs
B02_2m_22133680,B02,2m,0.2336439934687738,0.0005591273702515777,0.00021958038227215635,0.12429762228590534,0.0,0.0023930740180842886,0.0009398075208875548,0.5319957959994275,0.0,256,128,10080
B02_1m_22133663,B02,1m,0.3569006760329732,0.000549310464014112,0.0005589795916554499,0.19195335800960808,0.0,0.0015391129826925923,0.0015662049113176998,0.537834111560702,0.0,256,128,10080
E03_1m_22133626,E03,1m,0.15488773467133815,0.0005566833023505544,0.000286854438435924,0.08514998541651576,0.0,0.003594108361981023,0.0018520151969722504,0.5497529265128616,0.0,256,128,10080
E03_2m_22133674,E03,2m,0.14837884196057208,0.0005423704663234508,0.0002335986917433069,0.08170901560292647,0.0,0.0036553086623197398,0.0015743396339848767,0.5506783482286415,0.0,256,128,10080
C02_1m_22133625,C02,1m,0.26821537964267506,0.0005514499841117111,0.0007511159230239886,0.15415826753562803,0.0,0.002055996881485208,0.0028004207813312155,0.5747555108174726,0.0,256,128,10080
C02_2m_22133637,C02,2m,0.4355710933713486,0.0005581524356360003,0.0011054607213857005,0.24651506862991548,0.0,0.0012814267157075648,0.0025379570366558593,0.5659582841502929,0.0,256,128,10080
TKG4_2m_22133650,TKG4,2m,0.4141186204097037,0.0005446938145634958,0.0018694303332583533,0.2726381869352147,0.0,0.0013153086765927333,0.0045142387739263035,0.658357710806346,0.0,256,128,10080
TKG4_1m_22133682,TKG4,1m,0.7101145942982351,0.0005488900636344548,0.006127678535258571,0.4734513278472324,0.0,0.000772959840625288,0.008629140401366062,0.6667252463880379,0.0,256,128,10080
E04_1m_22133657,E04,1m,0.22568174846519096,0.0005310149821554906,0.000539364820925589,0.12471903742624164,0.0,0.0023529372036808468,0.0023899354936483944,0.5526323607222418,0.0,256,128,10080
E04_2m_22133643,E04,2m,0.28025718309459174,0.0005649353868042379,0.0005155746464635954,0.158756554339039,0.0,0.002015774869947088,0.001839648285801759,0.566467387511905,0.0,256,128,10080
B03_2m_22133635,B03,2m,0.6360447769896356,0.0005553582011079132,0.0020946176491190146,0.3534157601368049,0.0,0.0008731432458833993,0.003293192122467734,0.5556460377042981,0.0,256,128,10080
B03_1m_22133624,B03,1m,0.5833240282511679,0.0005367634214757731,0.001878083393649439,0.3189476500673136,0.0,0.0009201805437108675,0.0032196228900085236,0.5467761220526665,0.0,256,128,10080
G01_2m_22133648,G01,2m,0.5272564540391398,0.0008464217035146615,0.026644242986946485,0.3201245027280073,0.0,0.0016053320865595875,0.05053374459967939,0.6071514161194953,0.0,256,128,10080
G01_1m_22133675,G01,1m,0.4866306606237377,0.000620201363703306,0.009944694154457364,0.282299351875509,0.0,0.0012744806562503981,0.020435815001279976,0.5801100808438014,0.0,256,128,10080
E01_1m_22133647,E01,1m,0.17949260589054597,0.0005447534132773285,0.0005078642768298035,0.09698245625478538,0.0,0.003034962975630971,0.0028294440002698358,0.5403144924751105,0.0,256,128,10080
E01_2m_22133653,E01,2m,0.16113146060964934,0.0005252763324717128,0.0002320959492427775,0.08823214514884503,0.0,0.003259924104729779,0.0014404136123673818,0.5475786343338171,0.0,256,128,10080
G04_2m_22133651,G04,2m,0.3504085923656791,0.0005389278996853516,0.003479677948873563,0.2095419345391876,0.0,0.0015379985292225302,0.009930344245789051,0.5979931403066566,0.0,256,128,10080
B01_1m_22133671,B01,1m,0.35866297045290646,0.0005559264346656076,0.0021882363455732615,0.2344868720850442,0.0,0.0015499967391771838,0.006101093577656028,0.6537805444173475,0.0,256,128,10080
B01_2m_22133687,B01,2m,0.33958675861797866,0.0005180302920042582,0.00038188402582142424,0.18466140521111182,0.0,0.0015254725894274968,0.0011245551133253352,0.5437827021366531,0.0,256,128,10080
D01_1m_22133652,D01,1m,0.350397435854895,0.0005413198267276038,0.0013604585970971124,0.19851738175379832,0.0,0.0015448738242244805,0.0038826157325549016,0.5665491851259078,0.0,256,128,10080
D01_2m_22133646,D01,2m,0.33660726055662843,0.0005480123621612496,0.0009707723269917374,0.19448617347005215,0.0,0.001628046766593901,0.0028839910505389157,0.5777836554934713,0.0,256,128,10080
G02_1m_22133666,G02,1m,0.16953398366279948,0.000557272765365359,0.0008469222137128792,0.10659500704263655,0.0,0.0032870858887724015,0.004995589647662587,0.6287530366457524,0.0,256,128,10080
G02_2m_22133628,G02,2m,0.21479342071504592,0.0005651737221970282,0.0003466819308176437,0.11497150880164977,0.0,0.002631243174560787,0.0016140249066453796,0.5352655049624442,0.0,256,128,10080
A03_2m_22133661,A03,2m,0.36683123019884445,0.0006632986853155584,0.019950430574332358,0.2169364896781053,0.0,0.0018081848837025432,0.05438585630650376,0.5913795550082057,0.0,256,128,10080
A03_1m_22133634,A03,1m,0.5119356810398881,0.0006825643229400022,0.02690572395170535,0.31428636255178466,0.0,0.0013333009364643591,0.052556844440012684,0.6139176740198671,0.0,256,128,10080
A02__22038780,A02,,14.068073157154261,0.1394641802879344,0.5568346402587083,7.443040671601491,0.0,0.009913523958112945,0.03958144331766802,0.5290732133999717,0.0,256,128,4948
A01_1m_22133645,A01,1m,0.4542217369331771,0.0008259938880166112,0.008361836297101436,0.27338257181020675,0.0,0.0018184816376106798,0.018409150459330812,0.6018702972165894,0.0,256,128,10080
D02_2m_22133659,D02,2m,0.18247714005620294,0.0005467932528036264,0.00031352792388014613,0.10027857162131466,0.0,0.0029965027544557863,0.0017181764454636868,0.5495404607417065,0.0,256,128,10080
D02_1m_22133686,D02,1m,0.2741312003559484,0.0005587116816678937,0.0011263259690072185,0.1591996724343409,0.0,0.0020381178098021276,0.004108711330723133,0.5807426233410371,0.0,256,128,10080
D04_1m_22133636,D04,1m,0.1702949536950867,0.0005549813082274266,0.0005038354719163804,0.0938497076998184,0.0,0.003258941596244368,0.0029586048264148707,0.5511009320209006,0.0,256,128,10080
D04_2m_22133630,D04,2m,0.18797840772169647,0.0005500811330563793,0.0003425564660620833,0.10619326869110796,0.0,0.0029262995666543726,0.0018223181599093066,0.5649226949955227,0.0,256,128,10080
G03_1m_22133655,G03,1m,0.6751322833235386,0.0005392113626180706,0.004502477879999265,0.3773285388266171,0.0,0.0007986751277299954,0.006669030634758694,0.5588957129543645,0.0,256,128,10080
G03_2m_22133670,G03,2m,0.5735368805621698,0.0005500797250420301,0.0019344135525089876,0.3169735301697126,0.0,0.0009591008768308893,0.003372779707929005,0.5526645991082931,0.0,256,128,10080
