Date Time,Temp (°F) LGR S/N: 22038781 c:1,Intensity (lum/ft²) LGR S/N: 22038781 c:2,Button Down LGR S/N: 22038781,Button Up LGR S/N: 22038781,Host Connected LGR S/N: 22038781,End Of File LGR S/N: 22038781
06/23/25 04:15:00,34.16,210.00,,,,
06/23/25 04:20:00,34.08,246.87,,,,
06/23/25 04:25:00,34.54,288.49,,,,
06/23/25 04:30:00,35.39,336.17,,,,
06/23/25 04:35:00,36.09,405.38,,,,
06/23/25 04:40:00,36.63,616.69,,,,
06/23/25 04:45:00,38.10,767.72,,,,
06/23/25 04:50:00,39.10,886.87,,,,
06/23/25 04:55:00,39.02,808.39,,,,
06/23/25 05:00:00,39.02,1069.29,,,,
06/23/25 05:05:00,38.79,876.41,,,,
06/23/25 05:10:00,37.55,875.22,,,,
06/23/25 05:15:00,37.48,900.90,,,,
06/23/25 05:20:00,37.48,939.67,,,,
06/23/25 05:25:00,37.63,1029.81,,,,
06/23/25 05:30:00,38.48,1312.83,,,,
06/23/25 05:35:00,39.25,1353.73,,,,
06/23/25 05:40:00,39.64,1571.11,,,,
06/23/25 05:45:00,42.03,2119.55,,,,
06/23/25 05:50:00,44.74,2369.74,,,,
06/23/25 05:55:00,45.59,2261.29,,,,
06/23/25 06:00:00,45.51,2252.73,,,,
06/23/25 06:05:00,45.43,2440.14,,,,
06/23/25 06:10:00,45.82,2150.94,,,,
06/23/25 06:15:00,43.73,1743.77,,,,
06/23/25 06:20:00,42.34,1692.88,,,,
06/23/25 06:25:00,41.34,1711.43,,,,
06/23/25 06:30:00,41.96,1553.99,,,,
06/23/25 06:35:00,41.88,1685.74,,,,
06/23/25 06:40:00,42.19,1579.20,,,,
06/23/25 06:45:00,41.26,1429.36,,,,
06/23/25 06:50:00,41.11,1510.22,,,,
06/23/25 06:55:00,41.65,1860.79,,,,
06/23/25 07:00:00,44.50,2939.59,,,,
06/23/25 07:05:00,47.36,2970.03,,,,
06/23/25 07:10:00,49.91,3688.28,,,,
06/23/25 07:15:00,45.59,2316.47,,,,
06/23/25 07:20:00,44.97,2484.86,,,,
06/23/25 07:25:00,44.50,2098.62,,,,
06/23/25 07:30:00,44.97,2237.51,,,,
06/23/25 07:35:00,46.59,2264.15,,,,
06/23/25 07:40:00,46.36,2162.36,,,,
06/23/25 07:45:00,45.89,2128.11,,,,
06/23/25 07:50:00,45.51,2340.25,,,,
06/23/25 07:55:00,45.74,2581.89,,,,
06/23/25 08:00:00,46.51,3184.08,,,,
06/23/25 08:05:00,47.13,3315.36,,,,
06/23/25 08:10:00,48.44,3877.59,,,,
06/23/25 08:15:00,48.06,3814.80,,,,
06/23/25 08:20:00,48.21,3596.00,,,,
06/23/25 08:25:00,49.68,3549.39,,,,
06/23/25 08:30:00,50.45,3604.56,,,,
06/23/25 08:35:00,50.14,3691.13,,,,
06/23/25 08:40:00,49.76,3682.57,,,,
06/23/25 08:45:00,48.75,3896.62,,,,
06/23/25 08:50:00,49.37,4710.95,,,,
06/23/25 08:55:00,52.84,5860.15,,,,
06/23/25 09:00:00,55.08,5747.89,,,,
06/23/25 09:05:00,55.55,5978.11,,,,
06/23/25 09:10:00,58.10,6027.58,,,,
06/23/25 09:15:00,58.02,6438.55,,,,
06/23/25 09:20:00,58.33,7020.76,,,,
06/23/25 09:25:00,56.86,5936.25,,,,
06/23/25 09:30:00,56.78,6160.77,,,,
06/23/25 09:35:00,59.02,6581.25,,,,
06/23/25 09:40:00,58.64,7216.73,,,,
06/23/25 09:45:00,61.03,6921.82,,,,
06/23/25 09:50:00,58.02,5983.82,,,,
06/23/25 09:55:00,55.39,5949.57,,,,
06/23/25 10:00:00,54.00,5782.14,,,,
06/23/25 10:05:00,54.08,5957.18,,,,
06/23/25 10:10:00,54.16,5985.72,,,,
06/23/25 10:15:00,55.62,6518.46,,,,
06/23/25 10:20:00,57.79,6866.65,,,,
06/23/25 10:25:00,56.86,6495.63,,,,
06/23/25 10:30:00,56.09,6739.17,,,,
06/23/25 10:35:00,57.40,7553.50,,,,
06/23/25 10:40:00,60.80,8055.80,,,,
06/23/25 10:45:00,64.35,10289.51,,,,
06/23/25 10:50:00,68.37,10411.28,,,,
06/23/25 10:55:00,70.06,8573.32,,,,
06/23/25 11:00:00,67.59,8002.53,,,,
06/23/25 11:05:00,66.05,8698.90,,,,
06/23/25 11:10:00,67.98,8679.87,,,,
06/23/25 11:15:00,67.28,8002.53,,,,
06/23/25 11:20:00,69.29,7715.23,,,,
06/23/25 11:25:00,66.90,6906.60,,,,
06/23/25 11:30:00,64.27,6699.21,,,,
06/23/25 11:35:00,63.96,6566.03,,,,
06/23/25 11:40:00,68.37,8230.84,,,,
06/23/25 11:45:00,76.40,8227.04,,,,
06/23/25 11:50:00,76.47,8618.98,,,,
06/23/25 11:55:00,70.22,7724.74,,,,
06/23/25 12:00:00,66.74,7934.03,,,,
06/23/25 12:05:00,65.43,8101.46,,,,
06/23/25 12:10:00,65.66,7876.95,,,,
06/23/25 12:15:00,67.75,8093.85,,,,
06/23/25 12:20:00,70.37,7934.03,,,,
06/23/25 12:25:00,70.61,7152.04,,,,
06/23/25 12:30:00,67.59,7113.99,,,,
06/23/25 12:35:00,64.74,7317.57,,,,
06/23/25 12:40:00,65.05,7401.29,,,,
06/23/25 12:45:00,66.90,7557.31,,,,
06/23/25 12:50:00,66.44,7563.02,,,,
06/23/25 12:55:00,67.28,7382.26,,,,
06/23/25 13:00:00,65.43,7717.13,,,,
06/23/25 13:05:00,66.36,7348.02,,,,
06/23/25 13:10:00,63.27,6977.00,,,,
06/23/25 13:15:00,61.96,7186.29,,,,
06/23/25 13:20:00,63.04,7317.57,,,,
06/23/25 13:25:00,64.81,7473.59,,,,
06/23/25 13:30:00,64.97,7340.41,,,,
06/23/25 13:35:00,61.96,6773.42,,,,
06/23/25 13:40:00,60.57,6588.86,,,,
06/23/25 13:45:00,60.26,6543.20,,,,
06/23/25 13:50:00,61.57,6609.79,,,,
06/23/25 13:55:00,60.64,6430.94,,,,
06/23/25 14:00:00,61.11,6617.40,,,,
06/23/25 14:05:00,61.26,6547.00,,,,
06/23/25 14:10:00,60.57,6737.27,,,,
06/23/25 14:15:00,59.25,6781.03,,,,
06/23/25 14:20:00,58.71,6712.53,,,,
06/23/25 14:25:00,57.63,6476.61,,,,
06/23/25 14:30:00,56.78,6634.52,,,,
06/23/25 14:35:00,58.87,7698.10,,,,
06/23/25 14:40:00,62.34,8021.55,,,,
06/23/25 14:45:00,60.26,7289.03,,,,
06/23/25 14:50:00,60.18,7542.09,,,,
06/23/25 14:55:00,59.49,7311.87,,,,
06/23/25 15:00:00,57.25,6963.68,,,,
06/23/25 15:05:00,55.55,6518.46,,,,
06/23/25 15:10:00,55.47,6674.48,,,,
06/23/25 15:15:00,56.71,6379.57,,,,
06/23/25 15:20:00,57.32,6455.68,,,,
06/23/25 15:25:00,59.49,6999.83,,,,
06/23/25 15:30:00,61.18,7087.35,,,,
06/23/25 15:35:00,61.72,7237.66,,,,
06/23/25 15:40:00,67.13,9106.06,,,,
06/23/25 15:45:00,65.66,6307.27,,,,
06/23/25 15:50:00,67.75,5966.70,,,,
06/23/25 15:55:00,65.59,5871.56,,,,
06/23/25 16:00:00,66.28,7797.04,,,,
06/23/25 16:05:00,68.06,5432.05,,,,
06/23/25 16:10:00,60.95,5968.60,,,,
06/23/25 16:15:00,61.11,6109.39,,,,
06/23/25 16:20:00,60.88,6790.54,,,,
06/23/25 16:25:00,65.74,7861.73,,,,
06/23/25 16:30:00,63.04,5161.88,,,,
06/23/25 16:35:00,58.33,4623.43,,,,
06/23/25 16:40:00,57.32,4935.46,,,,
06/23/25 16:45:00,56.86,5024.89,,,,
06/23/25 16:50:00,56.17,4847.94,,,,
06/23/25 16:55:00,56.40,4311.39,,,,
06/23/25 17:00:00,56.32,4324.71,,,,
06/23/25 17:05:00,55.16,3999.36,,,,
06/23/25 17:10:00,52.92,3811.95,,,,
06/23/25 17:15:00,52.84,4206.75,,,,
06/23/25 17:20:00,53.54,4417.94,,,,
06/23/25 17:25:00,52.92,3678.77,,,,
06/23/25 17:30:00,52.92,3884.25,,,,
06/23/25 17:35:00,53.31,3687.33,,,,
06/23/25 17:40:00,52.38,3657.84,,,,
06/23/25 17:45:00,50.53,3591.24,,,,
06/23/25 17:50:00,49.29,3481.84,,,,
06/23/25 17:55:00,48.60,3343.90,,,,
06/23/25 18:00:00,48.44,3127.95,,,,
06/23/25 18:05:00,48.91,3131.75,,,,
06/23/25 18:10:00,49.52,3295.38,,,,
06/23/25 18:15:00,50.14,3124.14,,,,
06/23/25 18:20:00,48.83,2783.57,,,,
06/23/25 18:25:00,48.91,2669.41,,,,
06/23/25 18:30:00,48.98,2618.04,,,,
06/23/25 18:35:00,49.14,2555.25,,,,
06/23/25 18:40:00,49.06,2360.23,,,,
06/23/25 18:45:00,48.91,2462.97,,,,
06/23/25 18:50:00,49.14,2586.65,,,,
06/23/25 18:55:00,47.59,2096.72,,,,
06/23/25 19:00:00,45.51,2234.66,,,,
06/23/25 19:05:00,44.89,2226.10,,,,
06/23/25 19:10:00,44.43,1986.36,,,,
06/23/25 19:15:00,44.43,1819.40,,,,
06/23/25 19:20:00,44.12,1847.94,,,,
06/23/25 19:25:00,43.89,1909.78,,,,
06/23/25 19:30:00,43.89,1870.78,,,,
06/23/25 19:35:00,43.42,1449.82,,,,
06/23/25 19:40:00,42.19,1380.84,,,,
06/23/25 19:45:00,41.96,1243.38,,,,
06/23/25 19:50:00,41.57,1210.08,,,,
06/23/25 19:55:00,41.49,1137.31,,,,
06/23/25 20:00:00,40.72,809.58,,,,
06/23/25 20:05:00,39.87,637.62,,,,
06/23/25 20:10:00,39.79,593.86,,,,
06/23/25 20:15:00,39.64,575.55,,,,
06/23/25 20:20:00,38.71,527.27,,,,
06/23/25 20:25:00,38.10,470.43,,,,
06/23/25 20:30:00,38.17,454.02,,,,
06/23/25 20:35:00,38.87,501.11,,,,
06/23/25 20:40:00,39.18,508.72,,,,
06/23/25 20:45:00,38.71,502.54,,,,
06/23/25 20:50:00,37.79,455.92,,,,
06/23/25 20:55:00,38.10,408.47,,,,
06/23/25 21:00:00,38.33,400.27,,,,
06/23/25 21:05:00,38.48,379.93,,,,
06/23/25 21:10:00,39.02,327.26,,,,
06/23/25 21:15:00,37.79,282.31,,,,
06/23/25 21:20:00,36.86,253.41,,,,
06/23/25 21:25:00,37.25,212.74,,,,
06/23/25 21:30:00,36.78,178.08,,,,
06/23/25 21:35:00,37.40,161.55,,,,
06/23/25 21:40:00,37.94,133.01,,,,
06/23/25 21:45:00,38.02,111.25,,,,
06/23/25 21:50:00,38.02,101.97,,,,
06/23/25 21:55:00,37.71,83.12,,,,
06/23/25 22:00:00,36.71,66.21,,,,
06/23/25 22:05:00,36.63,53.94,,,,
06/23/25 22:10:00,36.94,44.64,,,,
06/23/25 22:15:00,37.01,33.39,,,,
06/23/25 22:20:00,37.32,25.60,,,,
06/23/25 22:25:00,37.48,17.95,,,,
06/23/25 22:30:00,37.32,12.75,,,,
06/23/25 22:35:00,36.86,9.24,,,,
06/23/25 22:40:00,36.63,6.79,,,,
06/23/25 22:45:00,36.16,5.01,,,,
06/23/25 22:50:00,35.55,3.55,,,,
06/23/25 22:55:00,36.32,2.63,,,,
06/23/25 23:00:00,36.94,1.85,,,,
06/23/25 23:05:00,36.71,1.30,,,,
06/23/25 23:10:00,36.09,0.95,,,,
06/23/25 23:15:00,35.62,0.69,,,,
06/23/25 23:20:00,36.32,0.51,,,,
06/23/25 23:25:00,36.01,0.40,,,,
06/23/25 23:30:00,36.09,0.28,,,,
06/23/25 23:35:00,35.47,0.21,,,,
06/23/25 23:40:00,35.55,0.17,,,,
06/23/25 23:45:00,35.47,0.11,,,,
06/23/25 23:50:00,35.01,0.09,,,,
06/23/25 23:55:00,35.16,0.06,,,,
06/24/25 00:00:00,34.93,0.04,,,,
06/24/25 00:05:00,34.39,0.02,,,,
06/24/25 00:10:00,34.31,0.02,,,,
06/24/25 00:15:00,34.16,0.00,,,,
06/24/25 00:20:00,34.16,0.00,,,,
06/24/25 00:25:00,34.47,0.00,,,,
06/24/25 00:30:00,34.54,0.00,,,,
06/24/25 00:35:00,35.08,0.00,,,,
06/24/25 00:40:00,35.70,0.00,,,,
06/24/25 00:45:00,36.09,0.00,,,,
06/24/25 00:50:00,36.40,0.00,,,,
06/24/25 00:55:00,35.55,0.00,,,,
06/24/25 01:00:00,34.70,0.00,,,,
06/24/25 01:05:00,35.86,0.00,,,,
06/24/25 01:10:00,35.55,0.00,,,,
06/24/25 01:15:00,36.40,0.00,,,,
06/24/25 01:20:00,36.16,0.00,,,,
06/24/25 01:25:00,35.32,0.00,,,,
06/24/25 01:30:00,35.86,0.00,,,,
06/24/25 01:35:00,36.16,0.00,,,,
06/24/25 01:40:00,36.16,0.02,,,,
