Date Time,Temp (°F) LGR S/N: 22038779 c:1,Intensity (lum/ft²) LGR S/N: 22038779 c:2,Button Down LGR S/N: 22038779,Button Up LGR S/N: 22038779,Host Connected LGR S/N: 22038779,End Of File LGR S/N: 22038779
06/19/25 16:30:00,62.27,4718.56,,,,
06/19/25 16:35:00,54.54,3927.06,,,,
06/19/25 16:40:00,53.00,6550.81,,,,
06/19/25 16:45:00,58.40,6714.44,,,,
06/19/25 16:50:00,62.19,6605.99,,,,
06/19/25 16:55:00,62.19,6432.84,,,,
06/19/25 17:00:00,63.11,6427.14,,,,
06/19/25 17:05:00,60.41,4410.33,,,,
06/19/25 17:10:00,63.11,6063.73,,,,
06/19/25 17:15:00,64.12,6101.78,,,,
06/19/25 17:20:00,62.73,6430.94,,,,
06/19/25 17:25:00,66.51,6788.64,,,,
06/19/25 17:30:00,65.05,6548.91,,,,
06/19/25 17:35:00,67.21,6193.11,,,,
06/19/25 17:40:00,66.59,6054.22,,,,
06/19/25 17:45:00,66.82,5980.01,,,,
06/19/25 17:50:00,65.89,5618.51,,,,
06/19/25 17:55:00,64.58,5152.36,,,,
06/19/25 18:00:00,64.89,4828.91,,,,
06/19/25 18:05:00,64.66,4956.39,,,,
06/19/25 18:10:00,64.43,5114.31,,,,
06/19/25 18:15:00,63.96,5158.07,,,,
06/19/25 18:20:00,61.49,4520.69,,,,
06/19/25 18:25:00,53.46,3223.08,,,,
06/19/25 18:30:00,54.62,3814.80,,,,
06/19/25 18:35:00,55.55,3601.71,,,,
06/19/25 18:40:00,55.39,3467.57,,,,
06/19/25 18:45:00,56.17,3439.98,,,,
06/19/25 18:50:00,57.01,3361.97,,,,
06/19/25 18:55:00,57.09,3439.98,,,,
06/19/25 19:00:00,57.32,3686.38,,,,
06/19/25 19:05:00,58.56,3972.72,,,,
06/19/25 19:10:00,61.57,4294.27,,,,
06/19/25 19:15:00,56.86,2951.95,,,,
06/19/25 19:20:00,53.93,2670.36,,,,
06/19/25 19:25:00,52.77,1780.40,,,,
06/19/25 19:30:00,48.83,1447.44,,,,
06/19/25 19:35:00,47.13,1343.74,,,,
06/19/25 19:40:00,47.13,1350.40,,,,
06/19/25 19:45:00,47.36,1229.58,,,,
06/19/25 19:50:00,46.67,1253.37,,,,
06/19/25 19:55:00,46.36,1546.85,,,,
06/19/25 20:00:00,47.75,1641.03,,,,
06/19/25 20:05:00,47.28,1456.00,,,,
06/19/25 20:10:00,46.59,1392.74,,,,
06/19/25 20:15:00,47.52,1251.94,,,,
06/19/25 20:20:00,45.51,1138.73,,,,
06/19/25 20:25:00,44.50,1106.86,,,,
06/19/25 20:30:00,43.58,1040.27,,,,
06/19/25 20:35:00,42.57,805.29,,,,
06/19/25 20:40:00,39.18,627.64,,,,
06/19/25 20:45:00,36.63,624.78,,,,
06/19/25 20:50:00,36.55,740.84,,,,
06/19/25 20:55:00,36.86,699.46,,,,
06/19/25 21:00:00,37.01,518.23,,,,
06/19/25 21:05:00,36.86,385.88,,,,
06/19/25 21:10:00,35.86,321.07,,,,
06/19/25 21:15:00,35.32,290.15,,,,
06/19/25 21:20:00,35.16,254.48,,,,
06/19/25 21:25:00,34.77,207.09,,,,
06/19/25 21:30:00,34.54,167.43,,,,
06/19/25 21:35:00,35.24,154.77,,,,
06/19/25 21:40:00,35.86,149.60,,,,
06/19/25 21:45:00,35.86,128.13,,,,
06/19/25 21:50:00,36.24,96.32,,,,
06/19/25 21:55:00,36.63,81.99,,,,
