Date Time,Temp (°F) LGR S/N: 22038780 c:1,Intensity (lum/ft²) LGR S/N: 22038780 c:2,Button Down LGR S/N: 22038780,Button Up LGR S/N: 22038780,Host Connected LGR S/N: 22038780,End Of File LGR S/N: 22038780
06/23/25 05:35:00,40.88,1400.82,,,,
06/23/25 05:40:00,41.72,1527.35,,,,
06/23/25 05:45:00,42.03,1524.49,,,,
06/23/25 05:50:00,43.19,1615.35,,,,
06/23/25 05:55:00,42.96,1696.21,,,,
06/23/25 06:00:00,42.50,1642.46,,,,
06/23/25 06:05:00,42.88,1653.87,,,,
06/23/25 06:10:00,42.11,1621.53,,,,
06/23/25 06:15:00,42.19,1799.90,,,,
06/23/25 06:20:00,42.42,1860.31,,,,
06/23/25 06:25:00,42.65,2228.95,,,,
06/23/25 06:30:00,43.50,2214.68,,,,
06/23/25 06:35:00,44.04,2553.35,,,,
06/23/25 06:40:00,45.43,2642.77,,,,
06/23/25 06:45:00,46.90,2975.74,,,,
06/23/25 06:50:00,47.67,2962.42,,,,
06/23/25 06:55:00,49.22,3955.60,,,,
06/23/25 07:00:00,48.37,3202.15,,,,
06/23/25 07:05:00,48.06,3540.82,,,,
06/23/25 07:10:00,49.22,3682.57,,,,
06/23/25 07:15:00,50.37,3735.84,,,,
06/23/25 07:20:00,52.00,5036.30,,,,
06/23/25 07:25:00,52.15,3923.26,,,,
06/23/25 07:30:00,50.06,3892.81,,,,
06/23/25 07:35:00,50.06,4071.66,,,,
06/23/25 07:40:00,49.60,3829.07,,,,
06/23/25 07:45:00,51.07,4214.36,,,,
06/23/25 07:50:00,50.99,4292.37,,,,
06/23/25 07:55:00,51.61,4431.26,,,,
06/23/25 08:00:00,53.46,5011.57,,,,
06/23/25 08:05:00,53.08,4547.32,,,,
06/23/25 08:10:00,52.54,4636.75,,,,
06/23/25 08:15:00,54.08,5258.91,,,,
06/23/25 08:20:00,58.48,5647.05,,,,
06/23/25 08:25:00,58.33,5810.68,,,,
06/23/25 08:30:00,58.79,6491.83,,,,
06/23/25 08:35:00,60.03,5976.21,,,,
06/23/25 08:40:00,57.71,5184.71,,,,
06/23/25 08:45:00,53.77,5068.65,,,,
06/23/25 08:50:00,54.39,5808.78,,,,
06/23/25 08:55:00,57.17,6027.58,,,,
06/23/25 09:00:00,58.10,5711.74,,,,
06/23/25 09:05:00,56.47,5660.37,,,,
06/23/25 09:10:00,56.24,5753.60,,,,
06/23/25 09:15:00,55.86,5938.16,,,,
06/23/25 09:20:00,55.86,6113.20,,,,
06/23/25 09:25:00,57.63,6529.88,,,,
06/23/25 09:30:00,61.49,7770.40,,,,
06/23/25 09:35:00,66.20,7850.32,,,,
06/23/25 09:40:00,70.22,8443.94,,,,
06/23/25 09:45:00,71.22,7561.11,,,,
06/23/25 09:50:00,72.77,7020.76,,,,
06/23/25 09:55:00,65.97,6607.89,,,,
06/23/25 10:00:00,61.49,6556.52,,,,
06/23/25 10:05:00,59.79,6425.23,,,,
06/23/25 10:10:00,59.02,6145.54,,,,
06/23/25 10:15:00,59.87,6208.33,,,,
06/23/25 10:20:00,60.41,6881.87,,,,
06/23/25 10:25:00,66.74,10616.76,,,,
06/23/25 10:30:00,72.46,9574.11,,,,
06/23/25 10:35:00,69.06,7211.03,,,,
06/23/25 10:40:00,64.20,6866.65,,,,
06/23/25 10:45:00,61.34,6978.90,,,,
06/23/25 10:50:00,60.88,7441.25,,,,
06/23/25 10:55:00,60.80,7448.86,,,,
06/23/25 11:00:00,62.03,7559.21,,,,
06/23/25 11:05:00,63.04,7998.72,,,,
06/23/25 11:10:00,64.89,8394.47,,,,
06/23/25 11:15:00,59.79,7760.89,,,,
06/23/25 11:20:00,60.34,8752.17,,,,
06/23/25 11:25:00,62.42,8660.84,,,,
06/23/25 11:30:00,65.43,8725.53,,,,
06/23/25 11:35:00,65.20,8991.90,,,,
06/23/25 11:40:00,63.96,8002.53,,,,
06/23/25 11:45:00,63.50,8173.77,,,,
06/23/25 11:50:00,63.96,8291.73,,,,
06/23/25 11:55:00,64.74,8227.04,,,,
06/23/25 12:00:00,67.52,8052.00,,,,
06/23/25 12:05:00,71.30,8497.21,,,,
06/23/25 12:10:00,74.08,8988.10,,,,
06/23/25 12:15:00,68.98,8809.25,,,,
06/23/25 12:20:00,62.34,7907.39,,,,
06/23/25 12:25:00,60.95,8645.62,,,,
06/23/25 12:30:00,60.95,8112.88,,,,
06/23/25 12:35:00,61.72,7812.26,,,,
06/23/25 12:40:00,61.49,7551.60,,,,
06/23/25 12:45:00,61.34,8166.15,,,,
06/23/25 12:50:00,61.65,7724.74,,,,
06/23/25 12:55:00,60.34,7106.38,,,,
06/23/25 13:00:00,58.56,6971.29,,,,
06/23/25 13:05:00,57.01,7098.77,,,,
06/23/25 13:10:00,59.18,8116.69,,,,
06/23/25 13:15:00,61.18,7279.52,,,,
06/23/25 13:20:00,59.18,7212.93,,,,
06/23/25 13:25:00,57.86,7376.56,,,,
06/23/25 13:30:00,57.71,7407.00,,,,
06/23/25 13:35:00,56.63,7355.63,,,,
06/23/25 13:40:00,55.32,7481.20,,,,
06/23/25 13:45:00,56.17,8227.04,,,,
06/23/25 13:50:00,62.11,9513.23,,,,
06/23/25 13:55:00,64.81,8462.97,,,,
06/23/25 14:00:00,67.21,8257.48,,,,
06/23/25 14:05:00,62.81,7734.25,,,,
06/23/25 14:10:00,62.65,7857.93,,,,
06/23/25 14:15:00,64.97,9060.40,,,,
06/23/25 14:20:00,64.20,7049.30,,,,
06/23/25 14:25:00,60.88,8333.59,,,,
06/23/25 14:30:00,59.56,7445.05,,,,
06/23/25 14:35:00,57.56,7268.11,,,,
06/23/25 14:40:00,56.94,7106.38,,,,
06/23/25 14:45:00,58.10,7108.28,,,,
06/23/25 14:50:00,58.95,7245.27,,,,
06/23/25 14:55:00,60.10,7650.54,,,,
06/23/25 15:00:00,59.87,7599.17,,,,
06/23/25 15:05:00,58.71,6449.97,,,,
06/23/25 15:10:00,60.57,6368.15,,,,
06/23/25 15:15:00,60.34,6019.97,,,,
06/23/25 15:20:00,58.56,6902.80,,,,
06/23/25 15:25:00,57.25,6396.69,,,,
06/23/25 15:30:00,65.20,7502.13,,,,
06/23/25 15:35:00,59.87,7268.11,,,,
06/23/25 15:40:00,60.88,6659.26,,,,
06/23/25 15:45:00,59.95,6881.87,,,,
06/23/25 15:50:00,61.72,5919.13,,,,
06/23/25 15:55:00,62.19,6368.15,,,,
06/23/25 16:00:00,60.88,5962.89,,,,
06/23/25 16:05:00,59.64,6016.17,,,,
06/23/25 16:10:00,58.56,5654.66,,,,
06/23/25 16:15:00,59.18,6183.60,,,,
06/23/25 16:20:00,59.33,5841.12,,,,
06/23/25 16:25:00,59.56,5673.69,,,,
06/23/25 16:30:00,60.03,5911.52,,,,
06/23/25 16:35:00,58.02,5355.95,,,,
06/23/25 16:40:00,56.63,5021.08,,,,
06/23/25 16:45:00,54.16,4703.34,,,,
06/23/25 16:50:00,52.15,4804.18,,,,
06/23/25 16:55:00,52.38,4983.03,,,,
06/23/25 17:00:00,52.54,4874.58,,,,
06/23/25 17:05:00,52.38,4855.55,,,,
06/23/25 17:10:00,52.38,4817.50,,,,
06/23/25 17:15:00,52.38,4484.54,,,,
06/23/25 17:20:00,49.76,4140.16,,,,
06/23/25 17:25:00,48.13,4069.76,,,,
06/23/25 17:30:00,48.29,4307.59,,,,
06/23/25 17:35:00,48.21,4084.98,,,,
06/23/25 17:40:00,48.06,3873.79,,,,
06/23/25 17:45:00,47.98,3691.13,,,,
06/23/25 17:50:00,48.44,3506.58,,,,
06/23/25 17:55:00,48.13,3378.15,,,,
06/23/25 18:00:00,47.44,3451.40,,,,
06/23/25 18:05:00,46.90,3306.80,,,,
06/23/25 18:10:00,45.74,3001.42,,,,
06/23/25 18:15:00,45.12,2892.02,,,,
06/23/25 18:20:00,44.97,2894.88,,,,
06/23/25 18:25:00,45.82,2945.30,,,,
06/23/25 18:30:00,45.59,2918.66,,,,
06/23/25 18:35:00,45.05,2643.73,,,,
06/23/25 18:40:00,44.27,2360.23,,,,
06/23/25 18:45:00,44.04,2265.10,,,,
06/23/25 18:50:00,43.89,2258.44,,,,
06/23/25 18:55:00,44.27,2198.51,,,,
06/23/25 19:00:00,43.50,2005.39,,,,
06/23/25 19:05:00,43.35,2031.07,,,,
06/23/25 19:10:00,43.19,2102.42,,,,
06/23/25 19:15:00,43.19,1856.51,,,,
06/23/25 19:20:00,42.65,1675.76,,,,
06/23/25 19:25:00,41.65,1479.78,,,,
06/23/25 19:30:00,40.72,1375.61,,,,
06/23/25 19:35:00,40.03,1166.80,,,,
06/23/25 19:40:00,39.95,1069.76,,,,
06/23/25 19:45:00,39.02,966.54,,,,
06/23/25 19:50:00,38.56,880.21,,,,
06/23/25 19:55:00,38.25,865.94,,,,
06/23/25 20:00:00,38.48,850.24,,,,
06/23/25 20:05:00,38.33,867.13,,,,
06/23/25 20:10:00,37.94,755.11,,,,
06/23/25 20:15:00,37.86,716.11,,,,
06/23/25 20:20:00,38.25,724.67,,,,
06/23/25 20:25:00,38.56,718.49,,,,
06/23/25 20:30:00,38.94,726.57,,,,
06/23/25 20:35:00,38.94,714.92,,,,
06/23/25 20:40:00,38.40,647.14,,,,
06/23/25 20:45:00,37.86,514.43,,,,
06/23/25 20:50:00,37.25,413.94,,,,
06/23/25 20:55:00,37.01,382.91,,,,
06/23/25 21:00:00,36.94,357.70,,,,
06/23/25 21:05:00,36.86,349.37,,,,
06/23/25 21:10:00,36.78,325.71,,,,
06/23/25 21:15:00,37.17,274.22,,,,
06/23/25 21:20:00,37.25,235.45,,,,
06/23/25 21:25:00,37.40,206.97,,,,
06/23/25 21:30:00,37.63,184.44,,,,
06/23/25 21:35:00,37.48,159.17,,,,
06/23/25 21:40:00,37.25,144.48,,,,
06/23/25 21:45:00,37.01,121.15,,,,
06/23/25 21:50:00,36.94,93.56,,,,
06/23/25 21:55:00,36.63,77.29,,,,
06/23/25 22:00:00,35.70,64.13,,,,
06/23/25 22:05:00,35.47,52.63,,,,
06/23/25 22:10:00,34.93,41.41,,,,
06/23/25 22:15:00,34.62,32.81,,,,
06/23/25 22:20:00,34.62,24.85,,,,
06/23/25 22:25:00,34.77,18.36,,,,
06/23/25 22:30:00,34.77,13.36,,,,
06/23/25 22:35:00,34.70,9.37,,,,
06/23/25 22:40:00,35.16,6.71,,,,
06/23/25 22:45:00,35.39,4.87,,,,
06/23/25 22:50:00,35.47,3.43,,,,
06/23/25 22:55:00,34.93,2.41,,,,
06/23/25 23:00:00,35.16,1.75,,,,
06/23/25 23:05:00,35.08,1.30,,,,
06/23/25 23:10:00,35.47,1.01,,,,
06/23/25 23:15:00,35.08,0.78,,,,
06/23/25 23:20:00,34.54,0.58,,,,
06/23/25 23:25:00,34.54,0.43,,,,
06/23/25 23:30:00,34.62,0.31,,,,
06/23/25 23:35:00,34.62,0.23,,,,
06/23/25 23:40:00,34.62,0.17,,,,
06/23/25 23:45:00,34.62,0.12,,,,
06/23/25 23:50:00,34.70,0.10,,,,
06/23/25 23:55:00,34.70,0.08,,,,
06/24/25 00:00:00,34.70,0.06,,,,
06/24/25 00:05:00,34.62,0.06,,,,
06/24/25 00:10:00,34.70,0.04,,,,
06/24/25 00:15:00,34.70,0.04,,,,
06/24/25 00:20:00,34.62,0.04,,,,
06/24/25 00:25:00,34.77,0.02,,,,
06/24/25 00:30:00,35.01,0.02,,,,
06/24/25 00:35:00,34.85,0.02,,,,
06/24/25 00:40:00,35.32,0.02,,,,
06/24/25 00:45:00,35.47,0.02,,,,
06/24/25 00:50:00,35.32,0.02,,,,
06/24/25 00:55:00,35.39,0.02,,,,
06/24/25 01:00:00,35.16,0.02,,,,
06/24/25 01:05:00,35.08,0.02,,,,
06/24/25 01:10:00,34.93,0.02,,,,
06/24/25 01:15:00,34.85,0.02,,,,
06/24/25 01:20:00,35.01,0.02,,,,
06/24/25 01:25:00,34.93,0.08,,,,
06/24/25 01:30:00,34.93,0.02,,,,
06/24/25 01:35:00,34.93,0.04,,,,
06/24/25 01:40:00,34.70,0.10,,,,
06/24/25 01:45:00,34.85,0.04,,,,
06/24/25 01:50:00,34.77,0.04,,,,
06/24/25 01:55:00,34.93,0.06,,,,
06/24/25 02:00:00,35.39,0.08,,,,
06/24/25 02:05:00,35.39,0.10,,,,
06/24/25 02:10:00,35.62,0.12,,,,
06/24/25 02:15:00,35.78,0.14,,,,
06/24/25 02:20:00,35.70,0.19,,,,
06/24/25 02:25:00,35.39,0.25,,,,
06/24/25 02:30:00,35.47,0.31,,,,
06/24/25 02:35:00,35.01,0.41,,,,
06/24/25 02:40:00,34.93,0.56,,,,
06/24/25 02:45:00,35.01,0.80,,,,
06/24/25 02:50:00,35.39,1.13,,,,
