#,Date-Time (AKDT),Temperature   (°C),Light   (lux),Started,Button Down,Button Up,Host Connected,Stopped,End of File
1,06/22/2025 17:45:00,15.27,49295.36,Logged,,,,,
2,06/22/2025 17:50:00,14.33,46632.96,,,,,,
3,06/22/2025 17:55:00,13.77,45670.40,,,,,,
4,06/22/2025 18:00:00,14.28,44646.40,,,,,,
5,06/22/2025 18:05:00,13.81,44687.36,,,,,,
6,06/22/2025 18:10:00,13.64,44421.12,,,,,,
7,06/22/2025 18:15:00,13.17,42598.40,,,,,,
8,06/22/2025 18:20:00,12.82,40407.04,,,,,,
9,06/22/2025 18:25:00,11.75,36925.44,,,,,,
10,06/22/2025 18:30:00,11.11,34150.40,,,,,,
11,06/22/2025 18:35:00,11.02,34252.80,,,,,,
12,06/22/2025 18:40:00,9.69,28979.20,,,,,,
13,06/22/2025 18:45:00,9.52,29399.04,,,,,,
14,06/22/2025 18:50:00,9.74,30330.88,,,,,,
15,06/22/2025 18:55:00,9.95,31406.08,,,,,,
16,06/22/2025 19:00:00,9.86,30904.32,,,,,,
17,06/22/2025 19:05:00,10.21,30187.52,,,,,,
18,06/22/2025 19:10:00,9.99,29675.52,,,,,,
19,06/22/2025 19:15:00,10.08,29440.00,,,,,,
20,06/22/2025 19:20:00,9.95,28887.04,,,,,,
21,06/22/2025 19:25:00,9.61,27586.56,,,,,,
22,06/22/2025 19:30:00,9.26,27443.20,,,,,,
23,06/22/2025 19:35:00,8.45,25989.12,,,,,,
24,06/22/2025 19:40:00,8.32,25047.04,,,,,,
25,06/22/2025 19:45:00,8.79,24647.68,,,,,,
26,06/22/2025 19:50:00,8.62,24053.76,,,,,,
27,06/22/2025 19:55:00,8.58,23541.76,,,,,,
28,06/22/2025 20:00:00,8.41,22087.68,,,,,,
29,06/22/2025 20:05:00,8.23,21258.24,,,,,,
30,06/22/2025 20:10:00,7.72,19338.24,,,,,,
31,06/22/2025 20:15:00,7.38,18616.32,,,,,,
32,06/22/2025 20:20:00,6.86,17233.92,,,,,,
33,06/22/2025 20:25:00,6.95,16389.12,,,,,,
34,06/22/2025 20:30:00,6.86,15267.84,,,,,,
35,06/22/2025 20:35:00,6.17,13240.32,,,,,,
36,06/22/2025 20:40:00,6.17,13030.40,,,,,,
37,06/22/2025 20:45:00,6.17,12344.32,,,,,,
38,06/22/2025 20:50:00,6.00,11335.68,,,,,,
39,06/22/2025 20:55:00,5.27,9937.92,,,,,,
40,06/22/2025 21:00:00,4.89,9080.32,,,,,,
41,06/22/2025 21:05:00,5.27,8360.96,,,,,,
42,06/22/2025 21:10:00,5.36,7347.20,,,,,,
43,06/22/2025 21:15:00,4.84,6251.52,,,,,,
44,06/22/2025 21:20:00,4.20,5198.08,,,,,,
45,06/22/2025 21:25:00,3.64,4262.40,,,,,,
46,06/22/2025 21:30:00,3.43,3255.04,,,,,,
47,06/22/2025 21:35:00,2.87,2768.64,,,,,,
48,06/22/2025 21:40:00,2.53,2361.60,,,,,,
49,06/22/2025 21:45:00,2.06,1974.40,,,,,,
50,06/22/2025 21:50:00,1.54,1622.40,,,,,,
51,06/22/2025 21:55:00,1.16,1312.64,,,,,,
52,06/22/2025 22:00:00,1.46,1033.60,,,,,,
53,06/22/2025 22:05:00,1.84,801.28,,,,,,
54,06/22/2025 22:10:00,1.84,620.32,,,,,,
55,06/22/2025 22:15:00,1.84,480.48,,,,,,
56,06/22/2025 22:20:00,1.20,367.20,,,,,,
57,06/22/2025 22:25:00,1.24,281.52,,,,,,
58,06/22/2025 22:30:00,1.03,216.48,,,,,,
59,06/22/2025 22:35:00,0.86,156.40,,,,,,
60,06/22/2025 22:40:00,1.16,106.92,,,,,,
61,06/22/2025 22:45:00,1.54,76.06,,,,,,
62,06/22/2025 22:50:00,1.54,55.04,,,,,,
63,06/22/2025 22:55:00,1.71,38.64,,,,,,
64,06/22/2025 23:00:00,1.88,28.55,,,,,,
65,06/22/2025 23:05:00,1.84,20.75,,,,,,
66,06/22/2025 23:10:00,1.63,16.00,,,,,,
67,06/22/2025 23:15:00,1.03,12.29,,,,,,
68,06/22/2025 23:20:00,0.81,8.81,,,,,,
69,06/22/2025 23:25:00,1.03,6.56,,,,,,
70,06/22/2025 23:30:00,1.03,5.31,,,,,,
71,06/22/2025 23:35:00,0.60,4.08,,,,,,
72,06/22/2025 23:40:00,0.51,3.06,,,,,,
73,06/22/2025 23:45:00,0.51,2.45,,,,,,
74,06/22/2025 23:50:00,0.77,1.84,,,,,,
75,06/22/2025 23:55:00,0.98,1.43,,,,,,
76,06/23/2025 00:00:00,1.03,1.22,,,,,,
77,06/23/2025 00:05:00,1.24,0.81,,,,,,
78,06/23/2025 00:10:00,1.11,0.61,,,,,,
79,06/23/2025 00:15:00,0.81,0.61,,,,,,
80,06/23/2025 00:20:00,1.11,0.40,,,,,,
81,06/23/2025 00:25:00,0.94,0.40,,,,,,
82,06/23/2025 00:30:00,1.28,0.20,,,,,,
83,06/23/2025 00:35:00,1.37,0.20,,,,,,
84,06/23/2025 00:40:00,1.16,0.20,,,,,,
85,06/23/2025 00:45:00,1.28,0.20,,,,,,
86,06/23/2025 00:50:00,0.77,0.20,,,,,,
87,06/23/2025 00:55:00,1.03,0.20,,,,,,
88,06/23/2025 01:00:00,1.50,0.20,,,,,,
89,06/23/2025 01:05:00,1.93,0.20,,,,,,
90,06/23/2025 01:10:00,1.41,0.20,,,,,,
91,06/23/2025 01:15:00,0.90,0.20,,,,,,
92,06/23/2025 01:20:00,0.34,0.20,,,,,,
93,06/23/2025 01:25:00,0.38,0.40,,,,,,
94,06/23/2025 01:30:00,1.07,0.40,,,,,,
95,06/23/2025 01:35:00,1.28,0.40,,,,,,
96,06/23/2025 01:40:00,1.20,0.40,,,,,,
97,06/23/2025 01:45:00,1.20,0.61,,,,,,
98,06/23/2025 01:50:00,1.54,0.81,,,,,,
99,06/23/2025 01:55:00,1.24,1.02,,,,,,
100,06/23/2025 02:00:00,0.94,1.22,,,,,,
101,06/23/2025 02:05:00,0.81,1.63,,,,,,
102,06/23/2025 02:10:00,0.86,2.04,,,,,,
103,06/23/2025 02:15:00,1.63,2.86,,,,,,
104,06/23/2025 02:20:00,2.14,3.68,,,,,,
105,06/23/2025 02:25:00,1.41,4.90,,,,,,
106,06/23/2025 02:30:00,1.24,5.95,,,,,,
107,06/23/2025 02:35:00,0.64,8.61,,,,,,
108,06/23/2025 02:40:00,0.68,10.68,,,,,,
109,06/23/2025 02:45:00,0.47,14.56,,,,,,
110,06/23/2025 02:50:00,0.51,20.32,,,,,,
111,06/23/2025 02:55:00,0.60,26.91,,,,,,
112,06/23/2025 03:00:00,0.86,36.60,,,,,,
113,06/23/2025 03:05:00,0.81,51.78,,,,,,
114,06/23/2025 03:10:00,1.97,71.50,,,,,,
115,06/23/2025 03:15:00,1.54,96.28,,,,,,
116,06/23/2025 03:20:00,1.54,134.12,,,,,,
117,06/23/2025 03:25:00,1.24,185.04,,,,,,
118,06/23/2025 03:30:00,2.14,247.60,,,,,,
119,06/23/2025 03:35:00,3.17,334.88,,,,,,
120,06/23/2025 03:40:00,2.40,447.68,,,,,,
121,06/23/2025 03:45:00,1.58,591.68,,,,,,
122,06/23/2025 03:50:00,1.46,790.72,,,,,,
123,06/23/2025 03:55:00,1.50,1017.28,,,,,,
124,06/23/2025 04:00:00,1.63,1315.20,,,,,,
125,06/23/2025 04:05:00,1.46,1616.00,,,,,,
126,06/23/2025 04:10:00,1.28,1925.12,,,,,,
127,06/23/2025 04:15:00,1.20,2260.48,,,,,,
128,06/23/2025 04:20:00,1.16,2657.28,,,,,,
129,06/23/2025 04:25:00,1.41,3105.28,,,,,,
130,06/23/2025 04:30:00,1.88,3618.56,,,,,,
131,06/23/2025 04:35:00,2.27,4363.52,,,,,,
132,06/23/2025 04:40:00,2.57,6638.08,,,,,,
133,06/23/2025 04:45:00,3.39,8263.68,,,,,,
134,06/23/2025 04:50:00,3.94,9546.24,,,,,,
135,06/23/2025 04:55:00,3.90,8701.44,,,,,,
136,06/23/2025 05:00:00,3.90,11509.76,,,,,,
137,06/23/2025 05:05:00,3.77,9433.60,,,,,,
138,06/23/2025 05:10:00,3.09,9420.80,,,,,,
139,06/23/2025 05:15:00,3.04,9697.28,,,,,,
140,06/23/2025 05:20:00,3.04,10114.56,,,,,,
141,06/23/2025 05:25:00,3.13,11084.80,,,,,,
142,06/23/2025 05:30:00,3.60,14131.20,,,,,,
143,06/23/2025 05:35:00,4.03,14571.52,,,,,,
144,06/23/2025 05:40:00,4.24,16911.36,,,,,,
145,06/23/2025 05:45:00,5.57,22814.72,,,,,,
146,06/23/2025 05:50:00,7.08,25507.84,,,,,,
147,06/23/2025 05:55:00,7.55,24340.48,,,,,,
148,06/23/2025 06:00:00,7.50,24248.32,,,,,,
149,06/23/2025 06:05:00,7.46,26265.60,,,,,,
150,06/23/2025 06:10:00,7.68,23152.64,,,,,,
151,06/23/2025 06:15:00,6.52,18769.92,,,,,,
152,06/23/2025 06:20:00,5.75,18222.08,,,,,,
153,06/23/2025 06:25:00,5.19,18421.76,,,,,,
154,06/23/2025 06:30:00,5.53,16727.04,,,,,,
155,06/23/2025 06:35:00,5.49,18145.28,,,,,,
156,06/23/2025 06:40:00,5.66,16998.40,,,,,,
157,06/23/2025 06:45:00,5.15,15385.60,,,,,,
158,06/23/2025 06:50:00,5.06,16256.00,,,,,,
159,06/23/2025 06:55:00,5.36,20029.44,,,,,,
160,06/23/2025 07:00:00,6.95,31641.60,,,,,,
161,06/23/2025 07:05:00,8.53,31969.28,,,,,,
162,06/23/2025 07:10:00,9.95,39700.48,,,,,,
163,06/23/2025 07:15:00,7.55,24934.40,,,,,,
164,06/23/2025 07:20:00,7.20,26746.88,,,,,,
165,06/23/2025 07:25:00,6.95,22589.44,,,,,,
166,06/23/2025 07:30:00,7.20,24084.48,,,,,,
167,06/23/2025 07:35:00,8.11,24371.20,,,,,,
168,06/23/2025 07:40:00,7.98,23275.52,,,,,,
169,06/23/2025 07:45:00,7.72,22906.88,,,,,,
170,06/23/2025 07:50:00,7.50,25190.40,,,,,,
171,06/23/2025 07:55:00,7.63,27791.36,,,,,,
172,06/23/2025 08:00:00,8.06,34273.28,,,,,,
173,06/23/2025 08:05:00,8.41,35686.40,,,,,,
174,06/23/2025 08:10:00,9.14,41738.24,,,,,,
175,06/23/2025 08:15:00,8.92,41062.40,,,,,,
176,06/23/2025 08:20:00,9.01,38707.20,,,,,,
177,06/23/2025 08:25:00,9.82,38205.44,,,,,,
178,06/23/2025 08:30:00,10.25,38799.36,,,,,,
179,06/23/2025 08:35:00,10.08,39731.20,,,,,,
180,06/23/2025 08:40:00,9.86,39639.04,,,,,,
181,06/23/2025 08:45:00,9.31,41943.04,,,,,,
182,06/23/2025 08:50:00,9.65,50708.48,,,,,,
183,06/23/2025 08:55:00,11.58,63078.40,,,,,,
184,06/23/2025 09:00:00,12.82,61870.08,,,,,,
185,06/23/2025 09:05:00,13.08,64348.16,,,,,,
186,06/23/2025 09:10:00,14.50,64880.64,,,,,,
187,06/23/2025 09:15:00,14.45,69304.32,,,,,,
188,06/23/2025 09:20:00,14.63,75571.20,,,,,,
189,06/23/2025 09:25:00,13.81,63897.60,,,,,,
190,06/23/2025 09:30:00,13.77,66314.24,,,,,,
191,06/23/2025 09:35:00,15.01,70840.32,,,,,,
192,06/23/2025 09:40:00,14.80,77680.64,,,,,,
193,06/23/2025 09:45:00,16.13,74506.24,,,,,,
194,06/23/2025 09:50:00,14.45,64409.60,,,,,,
195,06/23/2025 09:55:00,13.00,64040.96,,,,,,
196,06/23/2025 10:00:00,12.22,62238.72,,,,,,
197,06/23/2025 10:05:00,12.27,64122.88,,,,,,
198,06/23/2025 10:10:00,12.31,64430.08,,,,,,
199,06/23/2025 10:15:00,13.12,70164.48,,,,,,
200,06/23/2025 10:20:00,14.33,73912.32,,,,,,
201,06/23/2025 10:25:00,13.81,69918.72,,,,,,
202,06/23/2025 10:30:00,13.38,72540.16,,,,,,
203,06/23/2025 10:35:00,14.11,81305.60,,,,,,
204,06/23/2025 10:40:00,16.00,86712.32,,,,,,
205,06/23/2025 10:45:00,17.97,110755.84,,,,,,
206,06/23/2025 10:50:00,20.20,112066.56,,,,,,
207,06/23/2025 10:55:00,21.15,92282.88,,,,,,
208,06/23/2025 11:00:00,19.77,86138.88,,,,,,
209,06/23/2025 11:05:00,18.92,93634.56,,,,,,
210,06/23/2025 11:10:00,19.99,93429.76,,,,,,
211,06/23/2025 11:15:00,19.60,86138.88,,,,,,
212,06/23/2025 11:20:00,20.72,83046.40,,,,,,
213,06/23/2025 11:25:00,19.39,74342.40,,,,,,
214,06/23/2025 11:30:00,17.93,72110.08,,,,,,
215,06/23/2025 11:35:00,17.76,70676.48,,,,,,
216,06/23/2025 11:40:00,20.20,88596.48,,,,,,
217,06/23/2025 11:45:00,24.66,88555.52,,,,,,
218,06/23/2025 11:50:00,24.71,92774.40,,,,,,
219,06/23/2025 11:55:00,21.23,83148.80,,,,,,
220,06/23/2025 12:00:00,19.30,85401.60,,,,,,
221,06/23/2025 12:05:00,18.57,87203.84,,,,,,
222,06/23/2025 12:10:00,18.70,84787.20,,,,,,
223,06/23/2025 12:15:00,19.86,87121.92,,,,,,
224,06/23/2025 12:20:00,21.32,85401.60,,,,,,
225,06/23/2025 12:25:00,21.45,76984.32,,,,,,
226,06/23/2025 12:30:00,19.77,76574.72,,,,,,
227,06/23/2025 12:35:00,18.19,78766.08,,,,,,
228,06/23/2025 12:40:00,18.36,79667.20,,,,,,
229,06/23/2025 12:45:00,19.39,81346.56,,,,,,
230,06/23/2025 12:50:00,19.13,81408.00,,,,,,
231,06/23/2025 12:55:00,19.60,79462.40,,,,,,
232,06/23/2025 13:00:00,18.57,83066.88,,,,,,
233,06/23/2025 13:05:00,19.09,79093.76,,,,,,
234,06/23/2025 13:10:00,17.37,75100.16,,,,,,
235,06/23/2025 13:15:00,16.64,77352.96,,,,,,
236,06/23/2025 13:20:00,17.24,78766.08,,,,,,
237,06/23/2025 13:25:00,18.23,80445.44,,,,,,
238,06/23/2025 13:30:00,18.32,79011.84,,,,,,
239,06/23/2025 13:35:00,16.64,72908.80,,,,,,
240,06/23/2025 13:40:00,15.87,70922.24,,,,,,
241,06/23/2025 13:45:00,15.70,70430.72,,,,,,
242,06/23/2025 13:50:00,16.43,71147.52,,,,,,
243,06/23/2025 13:55:00,15.91,69222.40,,,,,,
244,06/23/2025 14:00:00,16.17,71229.44,,,,,,
245,06/23/2025 14:05:00,16.26,70471.68,,,,,,
246,06/23/2025 14:10:00,15.87,72519.68,,,,,,
247,06/23/2025 14:15:00,15.14,72990.72,,,,,,
248,06/23/2025 14:20:00,14.84,72253.44,,,,,,
249,06/23/2025 14:25:00,14.24,69713.92,,,,,,
250,06/23/2025 14:30:00,13.77,71413.76,,,,,,
251,06/23/2025 14:35:00,14.93,82862.08,,,,,,
252,06/23/2025 14:40:00,16.86,86343.68,,,,,,
253,06/23/2025 14:45:00,15.70,78458.88,,,,,,
254,06/23/2025 14:50:00,15.66,81182.72,,,,,,
255,06/23/2025 14:55:00,15.27,78704.64,,,,,,
256,06/23/2025 15:00:00,14.03,74956.80,,,,,,
257,06/23/2025 15:05:00,13.08,70164.48,,,,,,
258,06/23/2025 15:10:00,13.04,71843.84,,,,,,
259,06/23/2025 15:15:00,13.73,68669.44,,,,,,
260,06/23/2025 15:20:00,14.07,69488.64,,,,,,
261,06/23/2025 15:25:00,15.27,75345.92,,,,,,
262,06/23/2025 15:30:00,16.21,76288.00,,,,,,
263,06/23/2025 15:35:00,16.51,77905.92,,,,,,
264,06/23/2025 15:40:00,19.52,98017.28,,,,,,
265,06/23/2025 15:45:00,18.70,67891.20,,,,,,
266,06/23/2025 15:50:00,19.86,64225.28,,,,,,
267,06/23/2025 15:55:00,18.66,63201.28,,,,,,
268,06/23/2025 16:00:00,19.05,83927.04,,,,,,
269,06/23/2025 16:05:00,20.03,58470.40,,,,,,
270,06/23/2025 16:10:00,16.08,64245.76,,,,,,
271,06/23/2025 16:15:00,16.17,65761.28,,,,,,
272,06/23/2025 16:20:00,16.04,73093.12,,,,,,
273,06/23/2025 16:25:00,18.74,84623.36,,,,,,
274,06/23/2025 16:30:00,17.24,55562.24,,,,,,
275,06/23/2025 16:35:00,14.63,49766.40,,,,,,
276,06/23/2025 16:40:00,14.07,53125.12,,,,,,
277,06/23/2025 16:45:00,13.81,54087.68,,,,,,
278,06/23/2025 16:50:00,13.43,52183.04,,,,,,
279,06/23/2025 16:55:00,13.55,46407.68,,,,,,
280,06/23/2025 17:00:00,13.51,46551.04,,,,,,
281,06/23/2025 17:05:00,12.87,43048.96,,,,,,
282,06/23/2025 17:10:00,11.62,41031.68,,,,,,
283,06/23/2025 17:15:00,11.58,45281.28,,,,,,
284,06/23/2025 17:20:00,11.97,47554.56,,,,,,
285,06/23/2025 17:25:00,11.62,39598.08,,,,,,
286,06/23/2025 17:30:00,11.62,41809.92,,,,,,
287,06/23/2025 17:35:00,11.84,39690.24,,,,,,
288,06/23/2025 17:40:00,11.32,39372.80,,,,,,
289,06/23/2025 17:45:00,10.29,38656.00,,,,,,
290,06/23/2025 17:50:00,9.61,37478.40,,,,,,
291,06/23/2025 17:55:00,9.22,35993.60,,,,,,
292,06/23/2025 18:00:00,9.14,33669.12,,,,,,
293,06/23/2025 18:05:00,9.39,33710.08,,,,,,
294,06/23/2025 18:10:00,9.74,35471.36,,,,,,
295,06/23/2025 18:15:00,10.08,33628.16,,,,,,
296,06/23/2025 18:20:00,9.35,29962.24,,,,,,
297,06/23/2025 18:25:00,9.39,28733.44,,,,,,
298,06/23/2025 18:30:00,9.44,28180.48,,,,,,
299,06/23/2025 18:35:00,9.52,27504.64,,,,,,
300,06/23/2025 18:40:00,9.48,25405.44,,,,,,
301,06/23/2025 18:45:00,9.39,26511.36,,,,,,
302,06/23/2025 18:50:00,9.52,27842.56,,,,,,
303,06/23/2025 18:55:00,8.66,22568.96,,,,,,
304,06/23/2025 19:00:00,7.50,24053.76,,,,,,
305,06/23/2025 19:05:00,7.16,23961.60,,,,,,
306,06/23/2025 19:10:00,6.90,21381.12,,,,,,
307,06/23/2025 19:15:00,6.90,19584.00,,,,,,
308,06/23/2025 19:20:00,6.73,19891.20,,,,,,
309,06/23/2025 19:25:00,6.60,20556.80,,,,,,
310,06/23/2025 19:30:00,6.60,20136.96,,,,,,
311,06/23/2025 19:35:00,6.35,15605.76,,,,,,
312,06/23/2025 19:40:00,5.66,14863.36,,,,,,
313,06/23/2025 19:45:00,5.53,13383.68,,,,,,
314,06/23/2025 19:50:00,5.32,13025.28,,,,,,
315,06/23/2025 19:55:00,5.27,12241.92,,,,,,
316,06/23/2025 20:00:00,4.84,8714.24,,,,,,
317,06/23/2025 20:05:00,4.37,6863.36,,,,,,
318,06/23/2025 20:10:00,4.33,6392.32,,,,,,
319,06/23/2025 20:15:00,4.24,6195.20,,,,,,
320,06/23/2025 20:20:00,3.73,5675.52,,,,,,
321,06/23/2025 20:25:00,3.39,5063.68,,,,,,
322,06/23/2025 20:30:00,3.43,4887.04,,,,,,
323,06/23/2025 20:35:00,3.82,5393.92,,,,,,
324,06/23/2025 20:40:00,3.99,5475.84,,,,,,
325,06/23/2025 20:45:00,3.73,5409.28,,,,,,
326,06/23/2025 20:50:00,3.21,4907.52,,,,,,
327,06/23/2025 20:55:00,3.39,4396.80,,,,,,
328,06/23/2025 21:00:00,3.52,4308.48,,,,,,
329,06/23/2025 21:05:00,3.60,4089.60,,,,,,
330,06/23/2025 21:10:00,3.90,3522.56,,,,,,
331,06/23/2025 21:15:00,3.21,3038.72,,,,,,
332,06/23/2025 21:20:00,2.70,2727.68,,,,,,
333,06/23/2025 21:25:00,2.91,2289.92,,,,,,
334,06/23/2025 21:30:00,2.66,1916.80,,,,,,
335,06/23/2025 21:35:00,3.00,1738.88,,,,,,
336,06/23/2025 21:40:00,3.30,1431.68,,,,,,
337,06/23/2025 21:45:00,3.34,1197.44,,,,,,
338,06/23/2025 21:50:00,3.34,1097.60,,,,,,
339,06/23/2025 21:55:00,3.17,894.72,,,,,,
340,06/23/2025 22:00:00,2.61,712.64,,,,,,
341,06/23/2025 22:05:00,2.57,580.64,,,,,,
342,06/23/2025 22:10:00,2.74,480.48,,,,,,
343,06/23/2025 22:15:00,2.79,359.36,,,,,,
344,06/23/2025 22:20:00,2.96,275.60,,,,,,
345,06/23/2025 22:25:00,3.04,193.20,,,,,,
346,06/23/2025 22:30:00,2.96,137.28,,,,,,
347,06/23/2025 22:35:00,2.70,99.48,,,,,,
348,06/23/2025 22:40:00,2.57,73.14,,,,,,
349,06/23/2025 22:45:00,2.31,53.88,,,,,,
350,06/23/2025 22:50:00,1.97,38.23,,,,,,
351,06/23/2025 22:55:00,2.40,28.34,,,,,,
352,06/23/2025 23:00:00,2.74,19.93,,,,,,
353,06/23/2025 23:05:00,2.61,13.95,,,,,,
354,06/23/2025 23:10:00,2.27,10.27,,,,,,
355,06/23/2025 23:15:00,2.01,7.38,,,,,,
356,06/23/2025 23:20:00,2.40,5.54,,,,,,
357,06/23/2025 23:25:00,2.23,4.29,,,,,,
358,06/23/2025 23:30:00,2.27,3.06,,,,,,
359,06/23/2025 23:35:00,1.93,2.24,,,,,,
360,06/23/2025 23:40:00,1.97,1.84,,,,,,
361,06/23/2025 23:45:00,1.93,1.22,,,,,,
362,06/23/2025 23:50:00,1.67,1.02,,,,,,
363,06/23/2025 23:55:00,1.76,0.61,,,,,,
364,06/24/2025 00:00:00,1.63,0.40,,,,,,
365,06/24/2025 00:05:00,1.33,0.20,,,,,,
366,06/24/2025 00:10:00,1.28,0.20,,,,,,
367,06/24/2025 00:15:00,1.20,0.00,,,,,,
368,06/24/2025 00:20:00,1.20,0.00,,,,,,
369,06/24/2025 00:25:00,1.37,0.00,,,,,,
370,06/24/2025 00:30:00,1.41,0.00,,,,,,
371,06/24/2025 00:35:00,1.71,0.00,,,,,,
372,06/24/2025 00:40:00,2.06,0.00,,,,,,
373,06/24/2025 00:45:00,2.27,0.00,,,,,,
374,06/24/2025 00:50:00,2.44,0.00,,,,,,
375,06/24/2025 00:55:00,1.97,0.00,,,,,,
376,06/24/2025 01:00:00,1.50,0.00,,,,,,
377,06/24/2025 01:05:00,2.14,0.00,,,,,,
378,06/24/2025 01:10:00,1.97,0.00,,,,,,
379,06/24/2025 01:15:00,2.44,0.00,,,,,,
380,06/24/2025 01:20:00,2.31,0.00,,,,,,
381,06/24/2025 01:25:00,1.84,0.00,,,,,,
382,06/24/2025 01:30:00,2.14,0.00,,,,,,
383,06/24/2025 01:35:00,2.31,0.00,,,,,,
384,06/24/2025 01:40:00,2.31,0.20,,,,,,
385,06/24/2025 01:45:00,2.06,0.20,,,,,,
386,06/24/2025 01:50:00,2.06,0.20,,,,,,
387,06/24/2025 01:55:00,1.93,0.40,,,,,,
388,06/24/2025 02:00:00,2.31,0.61,,,,,,
389,06/24/2025 02:05:00,1.84,0.61,,,,,,
390,06/24/2025 02:10:00,1.76,1.02,,,,,,
391,06/24/2025 02:15:00,2.01,1.43,,,,,,
392,06/24/2025 02:20:00,2.27,1.84,,,,,,
393,06/24/2025 02:25:00,2.01,2.45,,,,,,
394,06/24/2025 02:30:00,2.14,3.27,,,,,,
395,06/24/2025 02:35:00,2.31,4.49,,,,,,
396,06/24/2025 02:40:00,2.53,5.93,,,,,,
397,06/24/2025 02:45:00,2.57,7.59,,,,,,
398,06/24/2025 02:50:00,2.61,10.65,,,,,,
399,06/24/2025 02:55:00,1.63,14.16,,,,,,
400,06/24/2025 03:00:00,1.24,20.32,,,,,,
401,06/24/2025 03:05:00,1.50,28.75,,,,,,
402,06/24/2025 03:10:00,1.33,40.28,,,,,,
403,06/24/2025 03:15:00,1.76,58.32,,,,,,
404,06/24/2025 03:20:00,1.71,79.74,,,,,,
405,06/24/2025 03:25:00,1.63,117.56,,,,,,
406,06/24/2025 03:30:00,2.14,163.68,,,,,,
407,06/24/2025 03:35:00,2.31,226.96,,,,,,
408,06/24/2025 03:40:00,2.49,300.16,,,,,,
409,06/24/2025 03:45:00,2.19,395.84,,,,,,
410,06/24/2025 03:50:00,2.14,550.40,,,,,,
411,06/24/2025 03:55:00,1.93,787.20,,,,,,
412,06/24/2025 04:00:00,1.84,936.32,,,,,,
413,06/24/2025 04:05:00,1.97,1090.88,,,,,,
414,06/24/2025 04:10:00,2.10,1308.48,,,,,,
415,06/24/2025 04:15:00,1.76,1616.64,,,,,,
416,06/24/2025 04:20:00,1.71,1960.96,,,,,,
417,06/24/2025 04:25:00,1.63,2201.60,,,,,,
418,06/24/2025 04:30:00,1.76,2502.40,,,,,,
419,06/24/2025 04:35:00,2.14,2748.16,,,,,,
420,06/24/2025 04:40:00,2.44,2997.76,,,,,,
421,06/24/2025 04:45:00,2.14,3431.68,,,,,,
422,06/24/2025 04:50:00,2.23,4272.64,,,,,,
423,06/24/2025 04:55:00,2.49,4825.60,,,,,,
424,06/24/2025 05:00:00,3.17,5437.44,,,,,,
425,06/24/2025 05:05:00,2.70,5862.40,,,,,,
426,06/24/2025 05:10:00,2.70,6627.84,,,,,,
427,06/24/2025 05:15:00,2.66,6758.40,,,,,,
428,06/24/2025 05:20:00,3.04,7237.12,,,,,,
429,06/24/2025 05:25:00,3.00,7994.88,,,,,,
430,06/24/2025 05:30:00,3.34,8903.68,,,,,,
431,06/24/2025 05:35:00,3.56,10531.84,,,,,,
432,06/24/2025 05:40:00,4.54,11514.88,,,,,,
433,06/24/2025 05:45:00,4.20,15636.48,,,,,,
434,06/24/2025 05:50:00,5.06,12984.32,,,,,,
435,06/24/2025 05:55:00,5.32,13644.80,,,,,,
436,06/24/2025 06:00:00,5.36,11893.76,,,,,,
437,06/24/2025 06:05:00,4.12,14530.56,,,,,,
438,06/24/2025 06:10:00,4.20,17274.88,,,,,,
439,06/24/2025 06:15:00,4.42,17018.88,,,,,,
440,06/24/2025 06:20:00,4.80,17024.00,,,,,,
441,06/24/2025 06:25:00,4.50,18641.92,,,,,,
442,06/24/2025 06:30:00,4.67,19164.16,,,,,,
443,06/24/2025 06:35:00,4.63,19087.36,,,,,,
444,06/24/2025 06:40:00,5.06,19880.96,,,,,,
445,06/24/2025 06:45:00,5.62,20480.00,,,,,,
446,06/24/2025 06:50:00,5.70,21493.76,,,,,,
447,06/24/2025 06:55:00,6.39,23889.92,,,,,,
448,06/24/2025 07:00:00,7.29,24924.16,,,,,,
449,06/24/2025 07:05:00,8.06,30238.72,,,,,,
450,06/24/2025 07:10:00,7.89,29757.44,,,,,,
451,06/24/2025 07:15:00,7.85,30525.44,,,,,,
452,06/24/2025 07:20:00,7.68,34160.64,,,,,,
453,06/24/2025 07:25:00,9.18,33105.92,,,,,,
454,06/24/2025 07:30:00,9.18,38338.56,,,,,,
455,06/24/2025 07:35:00,9.09,38430.72,,,,,,
456,06/24/2025 07:40:00,8.11,39516.16,,,,,,
457,06/24/2025 07:45:00,8.19,40089.60,,,,,,
458,06/24/2025 07:50:00,8.06,39516.16,,,,,,
459,06/24/2025 07:55:00,7.76,39649.28,,,,,,
460,06/24/2025 08:00:00,8.71,42229.76,,,,,,
461,06/24/2025 08:05:00,9.14,37212.16,,,,,,
462,06/24/2025 08:10:00,9.91,50544.64,,,,,,
463,06/24/2025 08:15:00,10.38,49520.64,,,,,,
464,06/24/2025 08:20:00,10.85,50831.36,,,,,,
465,06/24/2025 08:25:00,10.77,51834.88,,,,,,
466,06/24/2025 08:30:00,11.32,55480.32,,,,,,
467,06/24/2025 08:35:00,12.74,58982.40,,,,,,
468,06/24/2025 08:40:00,12.65,52367.36,,,,,,
469,06/24/2025 08:45:00,13.38,59617.28,,,,,,
