#,Date-Time (AKDT),Temperature   (°C),Started,Button Down,Button Up,Host Connected,End of File
129,06/17/2025 03:30:00,-3.01,,,,,
130,06/17/2025 03:35:00,-2.06,,,,,
131,06/17/2025 03:40:00,-2.41,,,,,
132,06/17/2025 03:45:00,-1.89,,,,,
133,06/17/2025 03:50:00,-2.79,,,,,
134,06/17/2025 03:55:00,-3.82,,,,,
135,06/17/2025 04:00:00,-2.66,,,,,
136,06/17/2025 04:05:00,-2.92,,,,,
137,06/17/2025 04:10:00,-3.01,,,,,
138,06/17/2025 04:15:00,-2.92,,,,,
139,06/17/2025 04:20:00,-1.80,,,,,
140,06/17/2025 04:25:00,-2.06,,,,,
141,06/17/2025 04:30:00,-1.25,,,,,
142,06/17/2025 04:35:00,-0.52,,,,,
143,06/17/2025 04:40:00,-0.77,,,,,
144,06/17/2025 04:45:00,-0.95,,,,,
145,06/17/2025 04:50:00,-0.65,,,,,
146,06/17/2025 04:55:00,-0.00,,,,,
147,06/17/2025 05:00:00,0.73,,,,,
148,06/17/2025 05:05:00,0.77,,,,,
149,06/17/2025 05:10:00,0.64,,,,,
150,06/17/2025 05:15:00,1.11,,,,,
151,06/17/2025 05:20:00,0.60,,,,,
152,06/17/2025 05:25:00,1.16,,,,,
153,06/17/2025 05:30:00,1.24,,,,,
154,06/17/2025 05:35:00,1.80,,,,,
155,06/17/2025 05:40:00,2.31,,,,,
156,06/17/2025 05:45:00,2.06,,,,,
157,06/17/2025 05:50:00,2.23,,,,,
158,06/17/2025 05:55:00,2.23,,,,,
159,06/17/2025 06:00:00,2.06,,,,,
160,06/17/2025 06:05:00,2.49,,,,,
161,06/17/2025 06:10:00,2.53,,,,,
162,06/17/2025 06:15:00,2.74,,,,,
163,06/17/2025 06:20:00,2.61,,,,,
164,06/17/2025 06:25:00,3.94,,,,,
165,06/17/2025 06:30:00,3.39,,,,,
166,06/17/2025 06:35:00,3.00,,,,,
167,06/17/2025 06:40:00,3.52,,,,,
168,06/17/2025 06:45:00,3.17,,,,,
169,06/17/2025 06:50:00,3.17,,,,,
170,06/17/2025 06:55:00,3.34,,,,,
171,06/17/2025 07:00:00,3.39,,,,,
172,06/17/2025 07:05:00,3.60,,,,,
173,06/17/2025 07:10:00,3.90,,,,,
174,06/17/2025 07:15:00,4.12,,,,,
175,06/17/2025 07:20:00,4.42,,,,,
176,06/17/2025 07:25:00,4.50,,,,,
177,06/17/2025 07:30:00,4.37,,,,,
178,06/17/2025 07:35:00,4.12,,,,,
179,06/17/2025 07:40:00,4.16,,,,,
180,06/17/2025 07:45:00,4.12,,,,,
181,06/17/2025 07:50:00,3.69,,,,,
182,06/17/2025 07:55:00,3.90,,,,,
183,06/17/2025 08:00:00,4.12,,,,,
184,06/17/2025 08:05:00,4.50,,,,,
185,06/17/2025 08:10:00,4.24,,,,,
186,06/17/2025 08:15:00,3.73,,,,,
187,06/17/2025 08:20:00,3.17,,,,,
188,06/17/2025 08:25:00,3.04,,,,,
189,06/17/2025 08:30:00,3.17,,,,,
190,06/17/2025 08:35:00,3.00,,,,,
191,06/17/2025 08:40:00,3.26,,,,,
192,06/17/2025 08:45:00,3.52,,,,,
193,06/17/2025 08:50:00,3.86,,,,,
194,06/17/2025 08:55:00,3.69,,,,,
195,06/17/2025 09:00:00,3.64,,,,,
196,06/17/2025 09:05:00,3.64,,,,,
197,06/17/2025 09:10:00,3.77,,,,,
198,06/17/2025 09:15:00,4.37,,,,,
199,06/17/2025 09:20:00,4.07,,,,,
200,06/17/2025 09:25:00,3.86,,,,,
201,06/17/2025 09:30:00,3.90,,,,,
202,06/17/2025 09:35:00,3.94,,,,,
203,06/17/2025 09:40:00,3.73,,,,,
204,06/17/2025 09:45:00,3.47,,,,,
205,06/17/2025 09:50:00,3.43,,,,,
