Date Time,Temp (°F) LGR S/N: 10383462 c:1,Intensity (lum/ft²) LGR S/N: 10383462 c:2,Coupler Attached LGR S/N: 10383462,Host Connected LGR S/N: 10383462,Stopped LGR S/N: 10383462,End Of File LGR S/N: 10383462
06/22/25 18:40:00,42.179,0.0,,,,
06/22/25 18:45:00,41.810,0.0,,,,
06/22/25 18:50:00,41.625,0.0,,,,
06/22/25 18:55:00,41.439,0.0,,,,
06/22/25 19:00:00,41.254,0.0,,,,
06/22/25 19:05:00,41.254,0.0,,,,
06/22/25 19:10:00,41.254,0.0,,,,
06/22/25 19:15:00,41.067,0.0,,,,
06/22/25 19:20:00,41.067,0.0,,,,
06/22/25 19:25:00,41.254,0.0,,,,
06/22/25 19:30:00,41.254,0.0,,,,
06/22/25 19:35:00,41.439,0.0,,,,
06/22/25 19:40:00,41.439,0.0,,,,
06/22/25 19:45:00,41.625,0.0,,,,
06/22/25 19:50:00,41.994,0.0,,,,
06/22/25 19:55:00,42.179,0.0,,,,
06/22/25 20:00:00,42.363,0.0,,,,
06/22/25 20:05:00,42.732,0.0,,,,
06/22/25 20:10:00,42.915,0.0,,,,
06/22/25 20:15:00,43.282,0.0,,,,
06/22/25 20:20:00,43.648,0.0,,,,
06/22/25 20:25:00,44.013,0.0,,,,
06/22/25 20:30:00,44.195,0.0,,,,
06/22/25 20:35:00,44.560,0.0,,,,
06/22/25 20:40:00,44.922,0.0,,,,
06/22/25 20:45:00,45.286,0.0,,,,
06/22/25 20:50:00,45.466,0.0,,,,
06/22/25 20:55:00,45.828,0.0,,,,
06/22/25 21:00:00,46.008,0.0,,,,
06/22/25 21:05:00,46.188,0.0,,,,
06/22/25 21:10:00,46.548,0.0,,,,
06/22/25 21:15:00,46.728,0.0,,,,
06/22/25 21:20:00,46.908,0.0,,,,
06/22/25 21:25:00,47.088,0.0,,,,
06/22/25 21:30:00,47.088,0.0,,,,
06/22/25 21:35:00,47.088,0.0,,,,
06/22/25 21:40:00,47.266,0.0,,,,
06/22/25 21:45:00,47.266,0.0,,,,
06/22/25 21:50:00,47.266,0.0,,,,
06/22/25 21:55:00,47.088,0.0,,,,
06/22/25 22:00:00,47.088,0.0,,,,
06/22/25 22:05:00,46.908,0.0,,,,
06/22/25 22:10:00,46.908,0.0,,,,
06/22/25 22:15:00,46.728,0.0,,,,
06/22/25 22:20:00,46.548,0.0,,,,
06/22/25 22:25:00,46.369,0.0,,,,
06/22/25 22:30:00,46.188,0.0,,,,
06/22/25 22:35:00,46.008,0.0,,,,
06/22/25 22:40:00,45.828,0.0,,,,
06/22/25 22:45:00,45.648,0.0,,,,
06/22/25 22:50:00,45.466,0.0,,,,
06/22/25 22:55:00,45.104,0.0,,,,
06/22/25 23:00:00,44.922,0.0,,,,
06/22/25 23:05:00,44.742,0.0,,,,
06/22/25 23:10:00,44.560,0.0,,,,
06/22/25 23:15:00,44.379,0.0,,,,
06/22/25 23:20:00,44.195,0.0,,,,
06/22/25 23:25:00,44.013,0.0,,,,
06/22/25 23:30:00,43.648,0.0,,,,
06/22/25 23:35:00,43.466,0.0,,,,
06/22/25 23:40:00,43.282,0.0,,,,
06/22/25 23:45:00,43.099,0.0,,,,
06/22/25 23:50:00,42.915,0.0,,,,
06/22/25 23:55:00,42.732,0.0,,,,
06/23/25 00:00:00,42.548,0.0,,,,
06/23/25 00:05:00,42.363,0.0,,,,
