source,maximum_definition,n,max_below_mean_count,mean_speed_mean_m_s,maximum_speed_mean_m_s,excess_median_m_s,excess_p05_m_s,excess_p95_m_s,ratio_median,ratio_p95
pace,two-second peak,52716,5,3.044449013582214,4.179081170802034,0.9356,0.0,2.8,1.356897911827165,3.8455657492354742
rmyoung,maximum of one-minute subsamples in five-minute interval,55692,0,3.680721270336673,4.59186454068807,0.43999999999999995,0.10799999999999998,1.6739999999999995,1.1684420772303594,1.7342523777350447
