﻿1,2022-06-11,11:15:03,19.4,
2,2022-06-11,11:30:03,15.0,
3,2022-06-11,11:45:03,9.1,
4,2022-06-11,12:00:03,3.2,
5,2022-06-11,12:15:03,-3.8,
6,2022-06-11,12:30:03,-6.7,
7,2022-06-11,12:45:03,-8.4,
8,2022-06-11,13:00:03,-10.3,
9,2022-06-11,13:15:03,-11.7,
10,2022-06-11,13:30:03,-12.0,
11,2022-06-11,13:45:03,-12.7,
12,2022-06-11,14:00:03,-13.5,
13,2022-06-11,14:15:03,-12.6,
14,2022-06-11,14:30:03,-11.5,
15,2022-06-11,14:45:03,-11.8,
16,2022-06-11,15:00:03,-12.6,
17,2022-06-11,15:15:03,-13.6,
18,2022-06-11,15:30:03,-14.2,
19,2022-06-11,15:45:03,-13.8,
20,2022-06-11,16:00:03,-13.9,
21,2022-06-11,16:15:03,-14.6,
22,2022-06-11,16:30:03,-14.3,
23,2022-06-11,16:45:03,-14.1,
24,2022-06-11,17:00:03,-14.5,
25,2022-06-11,17:15:03,-15.2,
26,2022-06-11,17:30:03,-15.7,
27,2022-06-11,17:45:03,-16.0,
28,2022-06-11,18:00:03,-15.5,
29,2022-06-11,18:15:03,-15.6,
30,2022-06-11,18:30:03,-16.1,
31,2022-06-11,18:45:03,-15.7,
32,2022-06-11,19:00:03,-15.7,
33,2022-06-11,19:15:03,-15.6,
34,2022-06-11,19:30:03,-15.8,
35,2022-06-11,19:45:03,-16.0,
36,2022-06-11,20:00:03,-16.4,
37,2022-06-11,20:15:03,-16.6,
38,2022-06-11,20:30:03,-16.8,
39,2022-06-11,20:45:03,-16.2,
40,2022-06-11,21:00:03,-15.9,
41,2022-06-11,21:15:03,-16.2,
42,2022-06-11,21:30:03,-15.7,
43,2022-06-11,21:45:03,-15.3,
44,2022-06-11,22:00:03,-15.7,
45,2022-06-11,22:15:03,-15.7,
46,2022-06-11,22:30:03,-15.2,
47,2022-06-11,22:45:03,-9.5,
48,2022-06-11,23:00:03,-1.0,
49,2022-06-11,23:15:03,4.0,
50,2022-06-11,23:30:03,7.2,
51,2022-06-11,23:45:03,9.5,
52,2022-06-12,00:00:03,11.2,
53,2022-06-12,00:15:03,12.6,
54,2022-06-12,00:30:03,13.8,
55,2022-06-12,00:45:03,14.5,
56,2022-06-12,01:00:03,15.1,
57,2022-06-12,01:15:03,15.6,
58,2022-06-12,01:30:03,16.0,
59,2022-06-12,01:45:03,16.3,
60,2022-06-12,02:00:03,16.6,
61,2022-06-12,02:15:03,16.8,
62,2022-06-12,02:30:03,17.0,
63,2022-06-12,02:45:03,17.1,
64,2022-06-12,03:00:03,17.3,
65,2022-06-12,03:15:03,17.4,
66,2022-06-12,03:30:03,17.4,
67,2022-06-12,03:45:03,17.5,
