site_id,site_type,processing_group,instrument_type,logger_serial,sensor_serial,height_m,shielding,deployed_at_utc,retrieved_at_utc,latitude,longitude,elevation_m,wind_direction_offset_deg,status,notes
G02,on_ice_standard,on_ice,hobo_temp,22133673,,2,shielded,2026-06-12T22:24:00Z,2026-07-23T01:34:00Z,58.641968039180995,-134.2226762,1110,,,
G02,on_ice_standard,on_ice,hobo_temp,22133686,,1,shielded,2026-06-12T22:24:00Z,2026-07-23T01:34:00Z,58.641968039180995,-134.2226762,1110,,,
G03,on_ice_standard,on_ice,hobo_temp,22133666,,2,shielded,2026-06-12T22:09:00Z,2026-07-23T01:39:00Z,58.63766116125864,-134.2308711,1110,,,
G03,on_ice_standard,on_ice,hobo_temp,22133676,,1,shielded,2026-06-12T22:09:00Z,2026-07-23T01:39:00Z,58.63766116125864,-134.2308711,1110,,,
G04,on_ice_standard,on_ice,hobo_temp,22133628,,2,shielded,2026-06-12T21:35:00Z,2026-07-15T22:00:00Z,58.631515121235864,-134.243021,1115,,,
G04,on_ice_standard,on_ice,hobo_temp,22133674,,1,shielded,2026-06-12T21:35:00Z,2026-07-15T22:00:00Z,58.631515121235864,-134.243021,1115,,,
G05,on_ice_standard,on_ice,hobo_temp,22133647,,2,shielded,2026-06-12T20:50:00Z,2026-07-15T21:40:00Z,58.628164327283194,-134.2499002,1125,,,
G05,on_ice_standard,on_ice,hobo_temp,22133675,,1,shielded,2026-06-12T20:50:00Z,2026-07-15T21:40:00Z,58.628164327283194,-134.2499002,1125,,,
G06,on_ice_standard,on_ice,hobo_temp,22133629,,1,shielded,2026-06-12T20:26:00Z,2026-07-15T21:31:00Z,58.62217612865622,-134.2632423,1128,,,
G06,on_ice_standard,on_ice,hobo_temp,22133643,,2,shielded,2026-06-12T20:26:00Z,2026-07-15T21:31:00Z,58.62217612865622,-134.2632423,1128,,,
T02,on_ice_standard,on_ice,hobo_temp,22133626,,2,shielded,2026-06-15T18:04:00Z,2026-07-25T19:00:00Z,58.82822,-134.31925,975,,,
T02,on_ice_standard,on_ice,hobo_temp,22133678,,1,shielded,2026-06-15T18:04:00Z,2026-07-25T19:00:00Z,58.82822,-134.31925,975,,,
T03,on_ice_standard,on_ice,hobo_temp,22133653,,2,shielded,2026-06-14T21:23:00Z,2026-07-25T22:18:00Z,58.825554162841314,-134.3196653,969,,,No 1m sensor
T04,on_ice_standard,on_ice,hobo_temp,22133644,,2,shielded,2026-06-15T18:52:00Z,2026-07-25T20:40:00Z,58.83173473333333,-134.3044998,1030,,,No 1m sensor
T05,on_ice_standard,on_ice,hobo_temp,22133681,,2,shielded,2026-06-14T19:58:00Z,2026-07-25T22:30:00Z,58.824179599999994,-134.3178614,975,,,No 1m sensor
T06,on_ice_standard,on_ice,hobo_temp,22133664,,2,shielded,2026-06-15T18:04:00Z,2026-07-25T20:10:00Z,58.83003,-134.31188,1009,,,No 1m sensor
T07,on_ice_standard,on_ice,hobo_temp,22133684,,2,shielded,2026-06-14T02:19:00Z,2026-07-25T20:59:00Z,58.83229,-134.3391,923,,,No 1m sensor
T08,on_ice_standard,on_ice,hobo_temp,22133642,,2,shielded,2026-06-14T04:13:00Z,2026-07-25T20:10:00Z,58.83004986666667,-134.3302546,945,,,No 1m sensor
X05,on_ice_standard,on_ice,hobo_temp,22133648,,1,shielded,2026-06-22T01:30:00Z,2026-07-29T20:36:00Z,58.90793231963343,-134.2178882,1940,,,
X05,on_ice_standard,on_ice,hobo_temp,22133656,,2,shielded,2026-06-22T01:30:00Z,2026-07-29T20:36:00Z,58.90793231963343,-134.2178882,1940,,,
X06,on_ice_standard,on_ice,hobo_temp,22133662,,2,shielded,2026-06-22T00:25:00Z,2026-07-29T20:10:00Z,58.947751450706264,-134.3236248,2086,,,
X06,on_ice_standard,on_ice,hobo_temp,22133683,,1,shielded,2026-06-22T00:25:00Z,2026-07-29T20:10:00Z,58.947751450706264,-134.3236248,2086,,,
A02,rmyoung,on_ice_intensive,rmyoung_logger,11710,5141,2,,2026-06-12T21:53:00Z,2026-07-15T22:16:00Z,58.63433158,-134.2370207,1109,,,RM station deployed later than the standard site
A02,rmyoung,on_ice_intensive,hobo_temp,22133637,,2,shielded,2026-06-12T21:53:00Z,2026-07-15T22:16:00Z,58.63433158,-134.2370207,1109,,,RM station deployed later than the standard site
A02,rmyoung,on_ice_intensive,hobo_temp,22133682,,1,shielded,2026-06-12T21:53:00Z,2026-07-15T22:16:00Z,58.63433158,-134.2370207,1109,,,RM station deployed later than the standard site
A04,rmyoung,on_ice_intensive,rmyoung_logger,11705,5142,2,,2026-06-18T01:35:00Z,2026-07-23T01:59:00Z,58.66965942448515,-134.3062928,1237,,,Sensor compass recalibrated after ~1 week. Unsure whether it caused any change to the data.
A04,rmyoung,on_ice_intensive,hobo_temp,22133651,,2,shielded,2026-06-18T01:35:00Z,2026-07-23T01:59:00Z,58.66965942448515,-134.3062928,1237,,,Sensor compass recalibrated after ~1 week. Unsure whether it caused any change to the data.
A04,rmyoung,on_ice_intensive,hobo_temp,22133665,,1,shielded,2026-06-18T01:35:00Z,2026-07-23T01:59:00Z,58.66965942448515,-134.3062928,1237,,,Sensor compass recalibrated after ~1 week. Unsure whether it caused any change to the data.
A06,intensive,on_ice_intensive,hobo_temp_light,22038779,,2,unshielded,2026-06-17T22:54:00Z,2026-07-23T02:32:00Z,58.71795581511836,-134.2121781,1406,,,
A06,intensive,on_ice_intensive,hobo_temp,22133645,,2,shielded,2026-06-17T22:54:00Z,2026-07-23T02:32:00Z,58.71795581511836,-134.2121781,1406,,,
A06,intensive,on_ice_intensive,pace_logger,EM54054,,2,unshielded,2026-06-17T22:54:00Z,2026-07-23T02:32:00Z,58.71795581511836,-134.2121781,1406,,,
